Quarter,Time,Tm,Detail,NYJ,NWE
1.0,1:12,Patriots,Shayne Graham 34 yard field goal,0,3
2.0,10:24,Jets,LaDainian Tomlinson 7 yard pass from Mark Sanchez (Nick Folk kick),7,3
,0:33,Jets,Braylon Edwards 15 yard pass from Mark Sanchez (Nick Folk kick),14,3
3.0,0:13,Patriots,Alge Crumpler 2 yard pass from Tom Brady (Sammy Morris run),14,11
4.0,13:00,Jets,Santonio Holmes 7 yard pass from Mark Sanchez (Nick Folk kick),21,11
,1:57,Patriots,Shayne Graham 35 yard field goal,21,14
,1:41,Jets,Shonn Greene 16 yard rush (Nick Folk kick),28,14
,0:24,Patriots,Deion Branch 13 yard pass from Tom Brady (Shayne Graham kick),28,21
