Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Shayne Graham kicks off 65 yards, returned by Antonio Cromartie for 27 yards (tackle by Devin McCourty)",0.000,1.070
1,14:54,1,10,NYJ 32,0,0,LaDainian Tomlinson right guard for 4 yards (tackle by Vince Wilfork),1.070,1.070
1,14:19,2,6,NYJ 36,0,0,Mark Sanchez pass complete short left to Jerricho Cotchery for 16 yards (tackle by Jerod Mayo),1.070,2.390
1,13:33,1,10,NWE 48,0,0,Joe McKnight left tackle for 2 yards (tackle by Patrick Chung and Jerod Mayo),2.390,2.120
1,12:53,2,8,NWE 46,0,0,LaDainian Tomlinson left guard for 3 yards (tackle by Rob Ninkovich),2.120,1.820
1,12:15,3,5,NWE 43,0,0,Mark Sanchez pass incomplete deep right intended for Jerricho Cotchery,1.820,0.400
1,12:10,4,5,NWE 43,0,0,"Steve Weatherford punts 27 yards, fair catch by Wes Welker",0.400,0.140
1,12:03,1,10,NWE 16,0,0,Tom Brady pass complete short left to Danny Woodhead for 19 yards (tackle by Eric Smith),-0.140,1.270
1,11:33,1,10,NWE 35,0,0,Brandon Tate left end for 11 yards (tackle by Brodney Pool),1.270,1.990
1,10:50,1,10,NWE 46,0,0,Tom Brady pass incomplete short left intended for Deion Branch (defended by Darrelle Revis),1.990,1.450
1,10:44,2,10,NWE 46,0,0,Tom Brady pass complete short left to Rob Gronkowski for 7 yards (tackle by Antonio Cromartie and Marquice Cole),1.450,1.690
1,10:03,3,3,NYJ 47,0,0,Tom Brady pass complete short left to Rob Gronkowski for 9 yards (tackle by Darrelle Revis),1.690,3.050
1,9:16,1,10,NYJ 38,0,0,Danny Woodhead left end for 7 yards (tackle by Drew Coleman),3.050,3.450
1,8:43,2,3,NYJ 31,0,0,BenJarvus Green-Ellis right guard for 3 yards (tackle by Sione Pouha and Trevor Pryce),3.450,3.710
1,8:04,1,10,NYJ 28,0,0,Tom Brady pass incomplete short right intended for BenJarvus Green-Ellis is intercepted by David Harris at NYJ-30 and returned for 58 yards,3.710,-4.780
1,7:50,1,10,NWE 12,0,0,Shonn Greene right tackle for -3 yards (tackle by Eric Moore),4.780,3.660
1,7:12,2,13,NWE 15,0,0,Mark Sanchez pass complete short left to LaDainian Tomlinson for -5 yards (tackle by Vince Wilfork),3.660,2.480
1,6:26,3,18,NWE 20,0,0,LaDainian Tomlinson left tackle for 8 yards (tackle by Brandon Meriweather and Dane Fletcher),2.480,2.630
1,5:48,4,10,NWE 12,0,0,Nick Folk 30 yard field goal no good,2.630,-0.340
1,5:44,1,10,NWE 21,0,0,Tom Brady sacked by Shaun Ellis for -7 yards,0.340,-1.250
1,5:10,2,17,NWE 14,0,0,"BenJarvus Green-Ellis left guard for 7 yards (tackle by David Harris). Penalty on David Harris: Face Mask (15 Yards), 15 yards",-1.250,1.330
1,4:50,1,10,NWE 36,0,0,BenJarvus Green-Ellis left tackle for 3 yards (tackle by Calvin Pace and Sione Pouha),1.330,1.200
1,4:11,2,7,NWE 39,0,0,Tom Brady pass complete short left to Wes Welker for 10 yards (tackle by Darrelle Revis),1.200,2.190
1,3:44,1,10,NWE 49,0,0,Tom Brady pass complete short right to Danny Woodhead for 3 yards (tackle by Drew Coleman),2.190,2.050
1,3:17,2,7,NYJ 48,0,0,BenJarvus Green-Ellis right tackle for 8 yards (tackle by David Harris and Bryan Thomas),2.050,2.920
1,2:38,1,10,NYJ 40,0,0,Tom Brady pass complete deep middle to Alge Crumpler for 28 yards (tackle by Brodney Pool),2.920,4.780
1,2:18,1,10,NYJ 12,0,0,Danny Woodhead right tackle for 5 yards (tackle by David Harris),4.780,5.020
1,1:49,2,5,NYJ 7,0,0,Tom Brady pass incomplete short middle intended for Alge Crumpler,5.020,4.160
1,1:44,3,5,NYJ 7,0,0,Tom Brady sacked by Shaun Ellis for -9 yards,4.160,2.380
1,1:15,4,14,NYJ 16,0,3,Shayne Graham 34 yard field goal good,2.380,3.000
1,,,,NWE 30,,,"Shayne Graham kicks off 67 yards, returned by Antonio Cromartie for 37 yards",,
1,1:03,1,10,NYJ 40,0,3,Mark Sanchez pass incomplete short left intended for Santonio Holmes,1.600,1.050
1,0:59,2,10,NYJ 40,0,3,Shonn Greene right guard for 5 yards (tackle by Gary Guyton),1.050,1.030
1,0:22,3,5,NYJ 45,0,3,Mark Sanchez pass complete short left to Jerricho Cotchery for 6 yards (tackle by Kyle Arrington),1.030,2.320
Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 49,0,3,Shonn Greene middle for 4 yards (tackle by Rob Ninkovich),2.320,2.320
2,14:30,2,6,NWE 45,0,3,Shonn Greene middle for no gain (tackle by Gary Guyton and Jerod Mayo),2.320,1.620
2,13:50,3,6,NWE 45,0,3,Mark Sanchez pass incomplete deep left intended for Dustin Keller,1.620,0.270
2,13:46,4,6,NWE 45,0,3,"Steve Weatherford punts 45 yards, touchback",0.270,-0.280
2,13:38,1,10,NWE 20,0,3,Tom Brady pass incomplete short middle intended for Wes Welker,0.280,-0.270
2,13:33,2,10,NWE 20,0,3,Danny Woodhead right guard for 5 yards (tackle by Eric Smith),-0.270,-0.300
2,12:53,3,5,NWE 25,0,3,Tom Brady sacked by Drew Coleman for -9 yards,-0.300,-2.390
2,12:28,4,14,NWE 16,0,3,"Zoltan Mesko punts 38 yards, returned by Jerricho Cotchery for 5 yards (tackle by Sergio Brown)",-2.390,-2.320
2,12:20,1,10,NWE 49,0,3,"Penalty on Wayne Hunter: False Start, 5 yards (no play)",2.320,1.990
2,12:20,1,15,NYJ 46,0,3,Mark Sanchez pass incomplete short left intended for Dustin Keller,1.990,1.110
2,12:16,2,15,NYJ 46,0,3,Mark Sanchez pass complete short middle to Jerricho Cotchery for 9 yards (tackle by Gary Guyton),1.110,1.620
2,11:38,3,6,NWE 45,0,3,Mark Sanchez pass complete deep left to Braylon Edwards for 37 yards (tackle by Darius Butler),1.620,5.370
2,11:10,1,8,NWE 8,0,3,LaDainian Tomlinson right guard for 1 yard (tackle by Brandon Deaderick),5.370,4.760
