Quarter,Time,Down,ToGo,Location,TEN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Micah Knorr kicks off 70 yards, returned by John Simon for 19 yards (tackle by Derek Ross)",0.000,0.150
1,14:56,1,10,TEN 19,0,0,Steve McNair pass complete to Frank Wycheck for 7 yards (tackle by Keith Adams),0.150,0.610
1,14:26,2,3,TEN 26,0,0,Eddie George right end for 1 yard (tackle by Brandon Noble),0.610,-0.030
1,13:43,3,2,TEN 27,0,0,Steve McNair pass incomplete intended for Derrick Mason,-0.030,-1.570
1,13:36,4,2,TEN 27,0,0,"Craig Hentrich punts 56 yards, returned by Joey Galloway for 21 yards",-1.570,-1.470
1,13:22,1,10,DAL 38,0,0,Quincy Carter pass incomplete intended for Joey Galloway,1.470,0.920
1,13:18,2,10,DAL 38,0,0,Emmitt Smith middle for 3 yards (tackle by Henry Ford),0.920,0.630
1,12:46,3,7,DAL 41,0,0,Quincy Carter pass incomplete intended for Ken-Yon Rambo,0.630,-0.650
1,12:39,4,7,DAL 41,0,0,"Micah Knorr punts 39 yards, returned by Derrick Mason for 11 yards (tackle by Troy Hambrick)",-0.650,-1.000
1,12:27,1,10,TEN 31,0,0,Steve McNair pass complete to Greg Comella for 2 yards (tackle by Kevin Hardy),1.000,0.730
1,11:40,2,8,TEN 33,0,0,Eddie George right guard for 1 yard (tackle by Ebenezer Ekuban),0.730,0.170
1,11:00,3,7,TEN 34,0,0,"Steve McNair sacked by Kevin Hardy for -8 yards. Steve McNair fumbles (forced by Kevin Hardy), recovered by Gennaro DiNapoli at TEN-26",0.170,-1.630
1,10:15,4,15,TEN 26,0,0,"Craig Hentrich punts 38 yards, fair catch by Joey Galloway",-1.630,-1.330
1,10:12,1,10,DAL 36,0,0,Emmitt Smith left end for 2 yards (tackle by Tank Williams),1.330,1.060
1,9:59,2,8,DAL 38,0,0,Quincy Carter pass complete to Robert Thomas for 7 yards (tackle by Peter Sirmon),1.060,1.290
1,9:18,3,1,DAL 45,0,0,Emmitt Smith left end for -1 yards (tackle by Keith Bulluck),1.290,-0.460
1,8:38,4,2,DAL 44,0,0,"Micah Knorr punts 49 yards, returned by Derrick Mason for 8 yards (tackle by Markus Steele)",-0.460,0.220
1,8:27,1,10,TEN 15,0,0,Eddie George middle for 2 yards (tackle by Darren Woodson),-0.220,-0.440
1,7:50,2,8,TEN 17,0,0,Eddie George right end for -1 yards (tackle by Keith Adams),-0.440,-1.250
1,7:07,3,9,TEN 16,0,0,Steve McNair pass complete to Derrick Mason for 10 yards (tackle by Darren Woodson),-1.250,0.670
1,6:29,1,10,TEN 26,0,0,Steve McNair pass complete to Derrick Mason for 40 yards (tackle by Mario Edwards),0.670,3.310
1,5:50,1,10,DAL 34,0,0,"Steve McNair pass incomplete intended for Eddie George. Penalty on Eddie George: Offensive Pass Interference, 10 yards (no play)",3.310,2.650
1,5:43,1,20,DAL 44,0,0,Eddie George middle for 7 yards (tackle by Randal Williams),2.650,2.370
1,5:02,2,13,DAL 37,0,0,Eddie George left end for 19 yards (tackle by Duane Hawthorne),2.370,4.370
1,4:12,1,10,DAL 18,0,0,Eddie George right tackle for 1 yard (tackle by Michael Myers and La'Roi Glover),4.370,3.940
1,3:33,2,9,DAL 17,0,0,Steve McNair pass complete to Eddie George for 5 yards (tackle by Kevin Hardy),3.940,4.030
1,2:45,3,4,DAL 12,0,0,"Penalty on Brad Hopkins: False Start, 5 yards (no play)",4.030,3.170
1,2:21,3,9,DAL 17,0,0,Steve McNair pass complete to Derrick Mason for 11 yards (tackle by Duane Hawthorne),3.170,5.830
1,1:35,1,6,DAL 6,0,0,Eddie George right end for no gain (tackle by Ebenezer Ekuban),5.830,4.950
1,0:48,1,6,DAL 6,,,Timeout #1 by Tennessee Titans,5.830,4.950
1,0:48,2,6,DAL 6,0,0,Steve McNair middle for 5 yards (tackle by Greg Ellis),4.950,5.170
1,0:03,3,1,DAL 1,6,0,"Steve McNair pass complete to Frank Wycheck for 1 yard, touchdown",5.170,7.000
1,0:03,,,DAL 1,7,0,Joe Nedney kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,TEN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,TEN 30,7,0,"Joe Nedney kicks off 65 yards, returned by Ken-Yon Rambo for 24 yards (tackle by Rocky Calmus)",0.000,0.870
2,14:55,1,10,DAL 29,7,0,"Penalty on Darnay Scott: False Start, 5 yards (no play)",0.870,0.540
2,14:55,1,15,DAL 24,7,0,Quincy Carter pass complete to Joey Galloway for 21 yards (tackle by Samari Rolle),0.540,1.930
2,14:33,1,10,DAL 45,7,0,Emmitt Smith middle for 7 yards (tackle by Lance Schulters),1.930,2.330
2,13:57,1,10,DAL 45,,,Timeout #1 by Dallas Cowboys,1.930,2.330
2,13:57,2,3,TEN 48,7,0,Emmitt Smith left end for 9 yards (tackle by Keith Bulluck),2.330,2.980
2,13:17,1,10,TEN 39,7,0,Quincy Carter pass complete to Ken-Yon Rambo for 17 yards (tackle by Samari Rolle),2.980,4.110
2,12:37,1,10,TEN 22,7,0,Emmitt Smith left tackle for 5 yards (tackle by Peter Sirmon),4.110,4.290
2,12:07,2,5,TEN 17,7,6,"Quincy Carter pass complete to Tony McGee for 17 yards, touchdown",4.290,7.000
2,12:07,,,TEN 17,7,7,Billy Cundiff kicks extra point good,0.000,0.000
2,12:07,,,DAL 30,7,7,"Micah Knorr kicks off 67 yards, returned by John Simon for 23 yards (tackle by Randal Williams)",0.000,0.670
2,11:53,1,10,TEN 26,7,7,Eddie George middle for 9 yards (tackle by Darren Woodson),0.670,1.350
2,11:15,2,1,TEN 35,7,7,Eddie George right guard for 1 yard (tackle by Brandon Noble),1.350,1.330
2,10:47,1,10,TEN 36,7,7,Steve McNair pass complete to Derrick Mason for 11 yards (tackle by Dwayne Goodrich),1.330,2.060
2,10:04,1,10,TEN 47,7,7,Eddie George left tackle for no gain (tackle by Kevin Hardy and Michael Myers),2.060,1.520
2,9:26,2,10,TEN 47,7,7,Steve McNair right end for 8 yards (tackle by Dexter Coakley),1.520,1.880
2,9:01,3,2,DAL 45,7,7,Eddie George right tackle for 3 yards (tackle by Michael Myers and Kevin Hardy),1.880,2.790
2,8:21,1,10,DAL 42,7,7,Eddie George left tackle for 3 yards (tackle by Mario Edwards and Darren Woodson),2.790,2.650
2,7:37,2,7,DAL 39,7,7,Neil O'Donnell pass incomplete intended for Drew Bennett,2.650,1.950
2,7:31,2,7,DAL 39,,,Timeout #2 by Dallas Cowboys,2.650,1.950
2,7:31,3,7,DAL 39,7,7,Neil O'Donnell pass complete to Justin McCareins for 15 yards (tackle by Randal Williams),1.950,3.970
2,7:03,1,10,DAL 24,7,7,Eddie George left tackle for 4 yards (tackle by Michael Myers and Kevin Hardy),3.970,3.970
2,6:18,2,6,DAL 20,7,7,Neil O'Donnell pass incomplete intended for Justin McCareins,3.970,3.270
2,6:11,3,6,DAL 20,7,7,Neil O'Donnell pass complete to Frank Wycheck for 1 yard (tackle by Darren Woodson),3.270,2.240
2,5:38,4,5,DAL 19,10,7,Joe Nedney 37 yard field goal good,2.240,3.000
2,5:38,,,TEN 30,10,7,"Joe Nedney kicks off 70 yards, returned by Ken-Yon Rambo for 20 yards (tackle by Joe Nedney). Penalty on Markus Steele: Illegal Block Above the Waist, 10 yards",0.000,-0.380
2,5:23,1,10,DAL 10,10,7,Quincy Carter pass complete to Emmitt Smith for 4 yards (tackle by Lance Schulters),-0.380,-0.460
2,4:48,2,6,DAL 14,10,7,Troy Hambrick left tackle for 2 yards (tackle by Lance Schulters),-0.460,-0.720
2,4:05,3,4,DAL 16,10,7,Quincy Carter pass complete to Joey Galloway for 8 yards (tackle by Samari Rolle),-0.720,0.540
2,3:28,1,10,DAL 24,10,7,Quincy Carter pass complete to Antonio Bryant for 11 yards (tackle by Carlos Hall),0.540,1.270
2,2:46,1,10,DAL 35,10,7,Emmitt Smith left tackle for 1 yard (tackle by Frank Chamberlin and Keith Bulluck),1.270,0.860
2,2:07,2,9,DAL 36,10,7,Quincy Carter sacked by Robaire Smith for -10 yards,0.860,-1.150
2,2:00,3,19,DAL 26,10,7,--,-1.150,-1.150
2,2:00,3,19,DAL 26,10,7,Quincy Carter pass complete to Antonio Bryant for 32 yards (tackle by Andre Dyson),-1.150,2.790
2,1:32,1,10,TEN 42,10,7,Quincy Carter pass incomplete intended for Joey Galloway,2.790,2.240
2,1:24,1,10,TEN 42,,,Timeout #3 by Dallas Cowboys,2.790,2.240
2,1:24,2,10,TEN 42,10,7,Quincy Carter pass incomplete intended for Ken-Yon Rambo,2.240,1.550
2,1:20,3,10,TEN 42,10,7,Quincy Carter pass incomplete intended for Joey Galloway (defended by Samari Rolle),1.550,0.460
2,1:15,4,10,TEN 42,10,7,Micah Knorr punts 38 yards,0.460,0.380
2,1:06,1,10,TEN 4,10,7,Neil O'Donnell for -1 yards,-0.380,-0.850
2,0:29,2,11,TEN 3,10,7,Neil O'Donnell for -1 yards,-0.850,-1.650
Quarter,Time,Down,ToGo,Location,TEN,DAL,Detail,EPB,EPA
