Quarter,Time,Tm,Detail,TEN,DAL
1.0,0:00,Titans,Frank Wycheck 1 yard pass from Steve McNair (Joe Nedney kick),7,0
2.0,12:00,Cowboys,Tony McGee 17 yard pass from Quincy Carter (Billy Cundiff kick),7,7
,5:31,Titans,Joe Nedney 37 yard field goal,10,7
3.0,3:10,Cowboys,Dexter Coakley 52 yard interception return (Billy Cundiff kick),10,14
4.0,11:25,Cowboys,Joey Galloway 38 yard pass from Quincy Carter (Billy Cundiff kick),10,21
,5:18,Titans,Joe Nedney 53 yard field goal,13,21
