Unnamed: 0,TEN,DAL
First Downs,19,14
Rush-Yds-TDs,26-98-0,26-67-0
Cmp-Att-Yd-TD-INT,23-43-259-1-1,14-24-240-2-0
Sacked-Yards,3-24,1-10
Net Pass Yards,235,230
Total Yards,333,297
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-55,2-15
Third Down Conv.,7-17,4-12
Fourth Down Conv.,1-2,0-0
Time of Possession,35:45,24:15
