Quarter,Time,Down,ToGo,Location,SFO,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Kenny Pickett pass complete short left to George Pickens for 6 yards (tackle by Fred Warner),0.610,0.870
1,14:25,2,4,PIT 31,0,0,Kenny Pickett pass complete short middle to Calvin Austin for -1 yards (tackle by Clelin Ferrell and Tashaun Gipson),0.870,0.040
1,14:03,3,5,PIT 30,0,0,Kenny Pickett sacked by Drake Jackson for -10 yards,0.040,-2.030
1,13:23,4,15,PIT 20,0,0,Pressley Harvin punts 34 yards out of bounds,-2.030,-1.990
1,13:15,1,10,SFO 46,0,0,Brock Purdy pass complete short middle to Deebo Samuel for 6 yards (tackle by Keanu Neal),1.990,2.260
1,12:36,2,4,PIT 48,0,0,Deebo Samuel right end for 3 yards (tackle by Larry Ogunjobi),2.260,1.950
1,12:11,3,1,PIT 45,0,0,Christian McCaffrey up the middle for no gain (tackle by Elandon Roberts and Cole Holcomb),1.950,0.270
1,11:33,4,1,PIT 45,0,0,Brock Purdy pass complete short left to George Kittle for 11 yards (tackle by Elandon Roberts and Patrick Peterson),0.270,3.310
1,10:50,1,10,PIT 34,0,0,Christian McCaffrey left end for 9 yards (tackle by Levi Wallace),3.310,3.990
1,10:14,2,1,PIT 25,0,0,Christian McCaffrey left guard for 17 yards (tackle by Minkah Fitzpatrick),3.990,5.370
1,9:34,1,8,PIT 8,6,0,"Brock Purdy pass complete short middle to Brandon Aiyuk for 8 yards, touchdown",5.370,7.000
1,9:29,,,PIT 15,6,0,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",0.000,0.000
1,9:29,,,PIT 20,7,0,Jake Moody kicks extra point good,0.000,0.000
1,9:29,,,SFO 35,7,0,"Mitch Wishnowsky kicks off 63 yards, returned by Anthony McFarland for 25 yards (tackle by Charlie Woerner)",0.000,0.740
