Quarter,Time,Tm,Detail,SFO,PIT
1.0,9:29,49ers,Brandon Aiyuk 8 yard pass from Brock Purdy (Jake Moody kick),7,0
,4:38,49ers,Jake Moody 41 yard field goal,10,0
2.0,13:30,49ers,Brandon Aiyuk 19 yard pass from Brock Purdy (Jake Moody kick),17,0
,8:22,49ers,Jake Moody 32 yard field goal,20,0
,0:10,Steelers,Pat Freiermuth 3 yard pass from Kenny Pickett (Chris Boswell kick),20,7
3.0,14:02,49ers,Christian McCaffrey 65 yard rush (Jake Moody kick),27,7
4.0,5:30,49ers,Jake Moody 40 yard field goal,30,7
