Unnamed: 0,SFO,PIT
First Downs,22,15
Rush-Yds-TDs,34-188-1,10-41-0
Cmp-Att-Yd-TD-INT,19-29-220-2-0,31-46-232-1-2
Sacked-Yards,3-17,5-34
Net Pass Yards,203,198
Total Yards,391,239
Fumbles-Lost,3-1,0-0
Turnovers,1,2
Penalties-Yards,11-85,6-60
Third Down Conv.,6-13,5-15
Fourth Down Conv.,1-1,1-3
Time of Possession,37:23,22:37
