Unnamed: 0,WAS,CAR
First Downs,9,27
Rush-Yds-TDs,12-14-0,39-142-0
Cmp-Att-Yd-TD-INT,22-30-207-1-1,21-34-246-5-0
Sacked-Yards,5-35,2-20
Net Pass Yards,172,226
Total Yards,186,368
Fumbles-Lost,5-4,1-0
Turnovers,5,0
Penalties-Yards,9-68,8-66
Third Down Conv.,2-9,7-14
Fourth Down Conv.,1-1,0-1
Time of Possession,21:53,38:07
