Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CLE 25,0,0,Baker Mayfield pass incomplete deep right intended for Damion Ratley,0.610,0.060
1,14:55,2,10,CLE 25,0,0,Baker Mayfield pass complete deep right to Jarvis Landry for 17 yards (tackle by Kendall Fuller),0.060,1.730
1,14:25,1,10,CLE 42,0,0,Nick Chubb right guard for 4 yards (tackle by Breeland Speaks),1.730,1.730
1,13:48,2,6,CLE 46,0,0,Nick Chubb left tackle for no gain (tackle by Allen Bailey),1.730,1.030
1,13:10,3,6,CLE 46,0,0,Baker Mayfield pass complete short right to Jarvis Landry for 5 yards (tackle by Anthony Hitchens),1.030,0.000
1,12:33,4,1,KAN 49,0,0,Nick Chubb right guard for 1 yard (tackle by Anthony Hitchens),0.000,2.390
1,11:52,1,10,KAN 48,0,0,Baker Mayfield pass incomplete deep middle intended for Jarvis Landry,2.390,1.850
1,11:47,2,10,KAN 48,0,0,Nick Chubb right guard for 4 yards (tackle by Allen Bailey and Ben Niemann),1.850,1.690
1,11:08,3,6,KAN 44,0,0,Baker Mayfield pass incomplete short left intended for Damion Ratley,1.690,0.330
1,11:05,4,6,KAN 44,0,0,Britton Colquitt punts 39 yards downed by Seth Devalve,0.330,0.380
1,10:57,1,10,KAN 5,0,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,-0.380,-0.780
1,10:52,2,10,KAN 5,0,0,"Patrick Mahomes pass incomplete short right intended for Sammy Watkins. Penalty on T.J. Carrie: Defensive Pass Interference, 6 yards (no play)",-0.780,-0.370
1,10:48,1,10,KAN 11,0,0,Patrick Mahomes pass complete short right to Sammy Watkins for 5 yards (tackle by T.J. Carrie),-0.370,-0.300
1,10:14,2,5,KAN 16,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 8 yards (tackle by Denzel Ward),-0.300,0.540
1,9:37,1,10,KAN 24,0,0,"Patrick Mahomes left end for 15 yards (tackle by Christian Kirksey). Penalty on Sammy Watkins: Offensive Holding, 10 yards",0.540,1.270
1,9:12,1,5,KAN 29,0,0,Patrick Mahomes pass complete deep left to Travis Kelce for 21 yards (tackle by E.J. Gaines),1.270,2.260
1,8:29,1,10,KAN 50,0,0,Patrick Mahomes pass incomplete short right intended for Chris Conley,2.260,1.710
1,8:25,2,10,KAN 50,6,0,"Patrick Mahomes pass complete short left to Kareem Hunt for 50 yards, touchdown",1.710,7.000
1,8:14,,,CLE 15,7,0,Harrison Butker kicks extra point good,0.000,0.000
1,8:14,,,KAN 35,7,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,8:14,1,10,CLE 25,7,0,Breshad Perriman left end for 7 yards (tackle by Reggie Ragland),0.610,1.010
1,7:33,2,3,CLE 32,7,0,Breshad Perriman left end for 2 yards (tackle by Steven Nelson),1.010,0.560
1,6:57,3,1,CLE 34,7,0,Baker Mayfield pass complete short right to Duke Johnson for 7 yards (tackle by Reggie Ragland),0.560,1.660
1,6:26,1,10,CLE 41,7,0,Nick Chubb left tackle for 4 yards (tackle by Breeland Speaks),1.660,1.660
1,5:46,2,6,CLE 45,7,0,Baker Mayfield pass complete short left to Antonio Callaway for 9 yards (tackle by Steven Nelson),1.660,2.520
1,5:07,1,10,KAN 46,7,0,Baker Mayfield pass incomplete deep left intended for Breshad Perriman,2.520,1.980
1,5:00,2,10,KAN 46,7,0,Baker Mayfield pass complete short middle to David Njoku for 19 yards (tackle by Eric Murray),1.980,3.780
1,4:15,1,10,KAN 27,7,0,Baker Mayfield pass incomplete deep middle intended for Breshad Perriman,3.780,3.230
1,4:10,2,10,KAN 27,7,0,Nick Chubb right guard for 3 yards (tackle by Reggie Ragland and Ben Niemann),3.230,2.940
1,3:34,3,7,KAN 24,7,0,Baker Mayfield sacked by Jordan Lucas for -9 yards,2.940,1.150
1,2:45,4,16,KAN 33,7,3,Greg Joseph 51 yard field goal good,1.150,3.000
1,2:45,,,CLE 35,7,3,"Greg Joseph kicks off 59 yards, (tackle by Tavierre Thomas)",0.000,0.610
