Unnamed: 0,KAN,CLE
First Downs,27,26
Rush-Yds-TDs,24-139-2,25-102-1
Cmp-Att-Yd-TD-INT,23-32-375-3-1,30-43-308-2-1
Sacked-Yards,2-15,2-22
Net Pass Yards,360,286
Total Yards,499,388
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,11-86,4-20
Third Down Conv.,6-10,5-13
Fourth Down Conv.,0-0,2-3
Time of Possession,29:09,30:51
