Quarter,Time,Tm,Detail,KAN,CLE
1.0,8:14,Chiefs,Kareem Hunt 50 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,2:45,Browns,Greg Joseph 51 yard field goal,7,3
2.0,13:30,Chiefs,Travis Kelce 11 yard pass from Patrick Mahomes (Harrison Butker kick),14,3
,6:29,Browns,Nick Chubb 3 yard rush (pass failed),14,9
,2:24,Chiefs,Kareem Hunt 1 yard rush (Harrison Butker kick),21,9
,0:26,Browns,Duke Johnson 19 yard pass from Baker Mayfield (pass failed),21,15
3.0,10:03,Chiefs,Travis Kelce 13 yard pass from Patrick Mahomes (Harrison Butker kick),28,15
,7:28,Chiefs,Kareem Hunt 10 yard rush (Harrison Butker kick failed),34,15
4.0,14:57,Browns,Duke Johnson 5 yard pass from Baker Mayfield (pass failed),34,21
,9:27,Chiefs,Harrison Butker 39 yard field goal,37,21
