Quarter,Time,Tm,Detail,ARI,SEA
1.0,9:59,Seahawks,Stephen Hauschka 31 yard field goal,0,3
,2:04,Seahawks,Marshawn Lynch 20 yard rush (Stephen Hauschka kick),0,10
2.0,14:53,Seahawks,Marshawn Lynch 4 yard rush (Stephen Hauschka kick),0,17
,10:12,Seahawks,Richard Sherman 19 yard interception return (Stephen Hauschka kick),0,24
,6:31,Seahawks,Malcolm Smith fumble recovery in end zone (Stephen Hauschka kick),0,31
,0:06,Seahawks,Zach Miller 24 yard pass from Russell Wilson (Stephen Hauschka kick),0,38
3.0,11:08,Seahawks,Marshawn Lynch 33 yard rush (Stephen Hauschka kick),0,45
,7:43,Seahawks,Stephen Hauschka 28 yard field goal,0,48
,2:06,Seahawks,Stephen Hauschka 32 yard field goal,0,51
4.0,2:32,Seahawks,Leon Washington 3 yard rush (Stephen Hauschka kick),0,58
