Unnamed: 0,ARI,SEA
First Downs,10,22
Rush-Yds-TDs,16-43-0,42-284-4
Cmp-Att-Yd-TD-INT,19-39-133-0-4,12-22-216-1-1
Sacked-Yards,3-22,1-7
Net Pass Yards,111,209
Total Yards,154,493
Fumbles-Lost,5-4,0-0
Turnovers,8,1
Penalties-Yards,9-79,10-97
Third Down Conv.,4-14,3-11
Fourth Down Conv.,0-1,0-1
Time of Possession,25:33,34:27
