Unnamed: 0,BAL,PIT
First Downs,26,31
Rush-Yds-TDs,26-152-3,16-59-2
Cmp-Att-Yd-TD-INT,20-35-269-2-1,44-66-506-2-0
Sacked-Yards,1-8,3-20
Net Pass Yards,261,486
Total Yards,413,545
Fumbles-Lost,2-0,1-0
Turnovers,1,0
Penalties-Yards,5-35,6-101
Third Down Conv.,4-10,12-18
Fourth Down Conv.,0-0,0-0
Time of Possession,26:10,33:50
