Quarter,Time,Tm,Detail,SEA,CAR
1.0,12:30,Panthers,Jonathan Stewart 4 yard rush (Graham Gano kick),0,7
,11:38,Panthers,Luke Kuechly 14 yard interception return (Graham Gano kick),0,14
2.0,14:18,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),0,21
,12:37,Panthers,Graham Gano 48 yard field goal,0,24
,6:26,Panthers,Greg Olsen 19 yard pass from Cam Newton (Graham Gano kick),0,31
3.0,13:27,Seahawks,Jermaine Kearse 13 yard pass from Russell Wilson (Stephen Hauschka kick),7,31
,7:40,Seahawks,Tyler Lockett 33 yard pass from Russell Wilson (Stephen Hauschka kick),14,31
4.0,6:04,Seahawks,Jermaine Kearse 3 yard pass from Russell Wilson (Stephen Hauschka kick),21,31
,1:12,Seahawks,Stephen Hauschka 36 yard field goal,24,31
