Quarter,Time,Tm,Detail,TAM,CIN
1.0,3:04,Bengals,Joe Mixon 1 yard rush (Randy Bullock kick),0,7
2.0,10:04,Bengals,Tyler Boyd 9 yard pass from Andy Dalton (Randy Bullock kick),0,14
,5:07,Bengals,Joe Mixon 8 yard rush (Randy Bullock kick),0,21
,4:36,Buccaneers,DeSean Jackson 60 yard pass from Jameis Winston (Chandler Catanzaro kick failed),6,21
,2:34,Bengals,A.J. Green 17 yard pass from Andy Dalton (Randy Bullock kick failed),6,27
,0:03,Buccaneers,Chandler Catanzaro 25 yard field goal,9,27
3.0,9:18,Buccaneers,Peyton Barber 1 yard rush (Chandler Catanzaro kick),16,27
,2:10,Bengals,Jessie Bates III 21 yard interception return (Randy Bullock kick),16,34
4.0,12:54,Buccaneers,Chandler Catanzaro 38 yard field goal,19,34
,9:57,Buccaneers,Mike Evans 72 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),26,34
,1:05,Buccaneers,O.J. Howard 18 yard pass from Ryan Fitzpatrick (Chris Godwin pass from Ryan Fitzpatrick),34,34
,0:00,Bengals,Randy Bullock 44 yard field goal,34,37
