Unnamed: 0,TAM,CIN
First Downs,29,21
Rush-Yds-TDs,27-126-1,27-138-2
Cmp-Att-Yd-TD-INT,29-50-470-3-4,21-34-280-2-0
Sacked-Yards,6-20,2-16
Net Pass Yards,450,264
Total Yards,576,402
Fumbles-Lost,1-0,0-0
Turnovers,4,0
Penalties-Yards,11-75,4-46
Third Down Conv.,10-18,5-13
Fourth Down Conv.,2-2,1-2
Time of Possession,35:59,24:01
