Quarter,Time,Down,ToGo,Location,PHI,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 72 yards, returned by Eric Weems for 29 yards (tackle by Tracy White)",0.000,0.740
1,14:54,1,10,ATL 27,0,0,Jerious Norwood right tackle for 5 yards (tackle by Jeremiah Trotter),0.740,0.870
1,14:18,2,5,ATL 32,0,0,Chris Redman pass incomplete short left intended for Roddy White,0.870,0.170
1,14:15,3,5,ATL 32,0,0,Chris Redman pass incomplete short left intended for Marty Booker,0.170,-1.240
1,14:09,4,5,ATL 32,0,0,"Michael Koenen punts 54 yards, returned by Jeremy Maclin for 27 yards (tackle by Michael Koenen)",-1.240,-1.660
1,13:53,1,10,PHI 41,0,0,Leonard Weaver left tackle for 5 yards (tackle by Mike Peterson),1.660,1.800
1,13:10,2,5,PHI 46,0,0,LeSean McCoy left guard for no gain (tackle by Jamaal Anderson),1.800,1.090
1,12:35,3,5,PHI 46,0,0,Donovan McNabb pass complete short left to Jason Avant for 13 yards (tackle by Chevis Jackson),1.090,2.850
1,12:09,1,10,ATL 41,0,0,Donovan McNabb pass complete short left to LeSean McCoy for 14 yards (tackle by Curtis Lofton),2.850,3.780
1,11:23,1,10,ATL 27,0,0,Michael Vick middle for 3 yards (tackle by Kroy Biermann),3.780,3.640
1,10:43,2,7,ATL 24,0,0,"Donovan McNabb pass complete short right to LeSean McCoy for no gain. Penalty on Chris Houston: Illegal Contact, 5 yards (no play)",3.640,4.310
1,10:33,1,10,ATL 19,0,0,Michael Vick left guard for 4 yards (tackle by Kroy Biermann and Thomas DeCoud),4.310,4.350
1,9:49,2,6,ATL 15,0,0,Donovan McNabb pass incomplete short right intended for Brent Celek (defended by Mike Peterson),4.350,3.580
1,9:42,,,,0,0,Timeout #1 by Philadelphia Eagles,0.000,3.580
1,9:41,3,6,ATL 15,0,0,Donovan McNabb pass incomplete short middle intended for Reggie Brown,3.580,2.470
1,9:36,4,6,ATL 15,3,0,David Akers 33 yard field goal good,2.470,3.000
1,,,,PHI 30,3,0,"David Akers kicks off 72 yards, returned by Eric Weems for 27 yards (tackle by Eldra Buckley). Eric Weems fumbles (forced by Eldra Buckley), recovered by Tracy White at ATL-22",0.000,-4.110
1,9:25,1,10,ATL 22,3,0,Donovan McNabb pass incomplete short middle intended for Leonard Weaver,4.110,3.560
1,9:25,2,10,ATL 22,3,0,LeSean McCoy left end for -3 yards,3.560,2.480
1,8:34,3,13,ATL 25,3,0,Donovan McNabb pass complete deep right to Reggie Brown for 21 yards (tackle by Brent Grimes),2.480,6.280
1,8:28,1,4,ATL 4,9,0,"Donovan McNabb pass complete short right to Leonard Weaver for 4 yards, touchdown",6.280,7.000
1,,,,ATL 2,10,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,10,0,"David Akers kicks off 71 yards, returned by Eric Weems for 29 yards (tackle by Moise Fokou)",0.000,0.810
1,8:05,1,10,ATL 28,10,0,Jerious Norwood middle for no gain (tackle by Chris Gocong),0.810,0.260
1,7:40,2,10,ATL 28,10,0,Jerious Norwood right end for no gain (tackle by Asante Samuel),0.260,-0.430
1,6:50,3,10,ATL 28,10,0,Chris Redman pass complete deep middle to Roddy White for 23 yards (tackle by Asante Samuel),-0.430,2.320
1,6:20,1,10,PHI 49,10,0,Jerious Norwood right end for 5 yards (tackle by Quintin Mikell),2.320,2.460
1,5:39,2,5,PHI 44,10,0,"Penalty on Quinn Ojinnaka: False Start, 5 yards (no play)",2.460,1.780
1,5:19,2,10,PHI 49,10,0,Chris Redman pass incomplete short right intended for Roddy White (defended by Juqua Parker),1.780,1.090
1,4:32,3,10,PHI 49,10,0,"Chris Redman pass incomplete short left intended for Tony Gonzalez. Penalty on Victor Harris: Defensive Pass Interfere, 6 yards (no play)",1.090,2.720
1,4:26,1,10,PHI 43,10,0,Jason Snelling left end for -1 yards,2.720,2.040
1,3:47,2,11,PHI 44,10,0,Jerious Norwood middle for -2 yards,2.040,1.090
1,3:26,3,13,PHI 46,10,0,Chris Redman pass incomplete short left intended for Tony Gonzalez (defended by Darren Howard),1.090,0.200
1,3:20,4,13,PHI 46,10,0,"Michael Koenen punts 38 yards, fair catch by Jeremy Maclin",0.200,0.380
1,3:16,1,10,PHI 8,10,0,LeSean McCoy middle for 1 yard (tackle by Chauncey Davis),-0.380,-0.710
1,3:06,2,9,PHI 9,10,0,Donovan McNabb pass complete short middle to LeSean McCoy for 2 yards (tackle by Curtis Lofton),-0.710,-1.070
1,2:26,3,7,PHI 11,10,0,"Donovan McNabb pass incomplete short middle intended for Jeremy Maclin. Penalty on Chevis Jackson: Defensive Holding, 5 yards (no play)",-1.070,-0.140
1,2:21,1,10,PHI 16,10,0,Donovan McNabb pass complete deep left to Leonard Weaver for 59 yards (tackle by Chris Owens),-0.140,3.910
1,1:46,1,10,ATL 25,10,0,LeSean McCoy right tackle for 2 yards (tackle by Curtis Lofton),3.910,3.630
1,1:07,2,8,ATL 23,10,0,Donovan McNabb pass complete short left to Jeremy Maclin for 7 yards (tackle by Chris Houston),3.630,4.060
1,0:32,3,1,ATL 16,10,0,"Penalty on Alex Smith: False Start, 5 yards (no play)",4.060,3.200
1,0:30,3,6,ATL 21,10,0,Donovan McNabb pass incomplete short middle intended for LeSean McCoy,3.200,2.080
1,0:01,4,6,ATL 21,10,0,David Akers 39 yard field goal no good,2.080,-0.870
Quarter,Time,Down,ToGo,Location,PHI,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 29,10,0,"Chris Redman pass incomplete short left intended for Roddy White. Penalty on Sheldon Brown: Illegal Contact, 5 yards (no play)",0.870,1.200
2,14:56,1,10,ATL 34,10,0,Eric Weems right end for 8 yards (tackle by Sean Jones),1.200,1.740
2,14:35,2,2,ATL 42,10,0,Jason Snelling right guard for 10 yards (tackle by Sean Jones and Mike Patterson),1.740,2.390
2,13:56,1,10,PHI 48,10,0,Jason Snelling right end for 4 yards (tackle by Brodrick Bunkley),2.390,2.390
2,13:46,2,6,PHI 44,10,0,Chris Redman pass incomplete,2.390,1.690
2,13:10,3,6,PHI 44,10,0,Chris Redman pass incomplete short left intended for Tony Gonzalez,1.690,0.330
