Quarter,Time,Tm,Detail,PHI,ATL
1.0,9:33,Eagles,David Akers 33 yard field goal,3,0
,8:28,Eagles,Leonard Weaver 4 yard pass from Donovan McNabb (David Akers kick),10,0
2.0,8:10,Eagles,David Akers 33 yard field goal,13,0
3.0,8:08,Eagles,Michael Vick 5 yard rush (David Akers kick),20,0
,3:39,Eagles,Sheldon Brown 83 yard interception return (David Akers kick),27,0
4.0,12:31,Eagles,Brent Celek 5 yard pass from Michael Vick (David Akers kick),34,0
,0:00,Falcons,Roddy White 3 yard pass from Chris Redman (Matt Bryant kick),34,7
