Unnamed: 0,PHI,ATL
First Downs,20,22
Rush-Yds-TDs,26-103-1,22-61-0
Cmp-Att-Yd-TD-INT,16-27-286-2-0,23-44-235-1-2
Sacked-Yards,2-9,2-1
Net Pass Yards,277,234
Total Yards,380,295
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,8-62,6-30
Third Down Conv.,4-11,4-14
Fourth Down Conv.,1-1,2-4
Time of Possession,29:11,30:49
