Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Jason Myers kicks off 72 yards, returned by Phillip Lindsay for no gain (tackle by Parry Nickerson). Penalty on Andy Janovich: Offensive Holding, 10 yards",0.000,-0.380
1,14:54,1,10,DEN 10,0,0,Case Keenum pass complete short right to Royce Freeman for 7 yards (tackle by Buster Skrine),-0.380,-0.090
1,14:22,2,3,DEN 17,0,0,Royce Freeman up the middle for 2 yards (tackle by Steve McLendon),-0.090,-0.370
1,13:44,3,1,DEN 19,0,0,Royce Freeman up the middle for 2 yards (tackle by Steve McLendon),-0.370,0.340
1,13:06,1,10,DEN 21,0,0,Phillip Lindsay right end for 29 yards (tackle by Jamal Adams),0.340,2.260
1,12:24,1,10,DEN 50,0,0,Case Keenum pass incomplete short middle intended for Emmanuel Sanders,2.260,1.710
1,12:15,2,10,DEN 50,0,0,Phillip Lindsay up the middle for 4 yards (tackle by Mike Pennel),1.710,1.550
1,11:37,3,6,NYJ 46,0,0,Case Keenum pass incomplete short left intended for Emmanuel Sanders (defended by Buster Skrine),1.550,0.200
1,11:32,4,6,NYJ 46,0,0,Colby Wadman punts 29 yards out of bounds,0.200,0.060
1,11:24,1,10,NYJ 17,0,0,Bilal Powell up the middle for 2 yards (tackle by Derek Wolfe),-0.060,-0.250
1,10:45,2,8,NYJ 19,0,0,"Bilal Powell right guard for 1 yard (tackle by Adam Gotsis). Bilal Powell fumbles (forced by Adam Gotsis), recovered by Adam Gotsis at NYJ-20 (tackle by Bilal Powell)",-0.250,-4.240
1,10:34,1,10,NYJ 20,0,0,Phillip Lindsay right guard for 12 yards (tackle by Jamal Adams and Darryl Roberts),4.240,5.370
1,9:58,1,8,NYJ 8,0,0,Phillip Lindsay up the middle for no gain (tackle by Jamal Adams),5.370,4.570
1,9:26,2,8,NYJ 8,6,0,"Case Keenum pass complete short right to Courtland Sutton for 8 yards, touchdown",4.570,7.000
1,9:19,,,NYJ 15,7,0,Brandon McManus kicks extra point good,0.000,0.000
1,9:19,,,DEN 35,7,0,"Brandon McManus kicks off 62 yards, returned by Andre Roberts for no gain (tackle by Dymonte Thomas)",0.000,0.610
1,9:12,1,10,NYJ 25,7,0,Sam Darnold pass incomplete short right intended for Robby Anderson (defended by Von Miller),0.610,0.060
1,9:09,2,10,NYJ 25,7,0,Isaiah Crowell left tackle for 15 yards (tackle by Darian Stewart and Brandon Marshall),0.060,1.600
1,8:32,1,10,NYJ 40,7,0,Isaiah Crowell right tackle for 5 yards (tackle by Chris Harris),1.600,1.730
1,7:49,2,5,NYJ 45,7,0,Sam Darnold pass complete short right to Jordan Leggett for 10 yards (tackle by Justin Simmons and Brandon Marshall),1.730,2.590
1,7:08,1,10,DEN 45,7,0,Bilal Powell left guard for 5 yards (tackle by Darian Stewart),2.590,2.720
1,6:32,2,5,DEN 40,7,0,Bilal Powell up the middle for 15 yards (tackle by Darian Stewart),2.720,3.910
1,5:52,1,10,DEN 25,7,0,Bilal Powell left end for -3 yards (tackle by Shane Ray),3.910,2.960
1,5:11,2,13,DEN 28,7,0,Sam Darnold pass complete short right to Robby Anderson for 12 yards,2.960,4.060
1,4:40,3,1,DEN 16,7,0,Sam Darnold up the middle for 3 yards (tackle by Bradley Chubb),4.060,4.710
1,4:02,1,10,DEN 13,7,0,Isaiah Crowell up the middle for 1 yard (tackle by Domata Peko),4.710,4.220
1,3:19,2,9,DEN 12,7,0,Sam Darnold pass incomplete short right intended for Quincy Enunwa,4.220,3.280
1,3:16,3,9,DEN 12,7,0,Sam Darnold pass incomplete short middle intended for Jermaine Kearse,3.280,2.630
1,3:12,4,9,DEN 12,7,0,Jason Myers 30 yard field goal no good,2.630,-0.280
1,3:08,1,10,DEN 20,7,0,"Royce Freeman up the middle for no gain (tackle by Avery Williamson). Penalty on Steve McLendon: Defensive Holding, 5 yards (no play)",0.280,0.610
1,2:42,1,10,DEN 25,7,0,Royce Freeman right tackle for 5 yards (tackle by Buster Skrine),0.610,0.740
1,2:17,2,5,DEN 30,7,0,Case Keenum pass complete deep middle to DaeSean Hamilton for 18 yards (tackle by Buster Skrine),0.740,2.130
1,1:31,1,10,DEN 48,7,0,Case Keenum pass complete short right to Emmanuel Sanders for 11 yards (tackle by Marcus Maye),2.130,2.850
1,0:58,1,10,NYJ 41,7,0,Phillip Lindsay right tackle for -3 yards (tackle by Darryl Roberts),2.850,1.900
1,0:17,2,13,NYJ 44,7,0,"Case Keenum pass complete short left to Phillip Lindsay for 2 yards (tackle by Marcus Maye). Penalty on Garett Bolles: Offensive Holding, 10 yards (no play)",1.900,0.550
Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,23,DEN 46,7,0,Phillip Lindsay up the middle for 5 yards (tackle by Frankie Luvu),0.550,0.560
2,14:42,3,18,NYJ 49,7,0,Case Keenum pass complete short left to Tim Patrick for 6 yards (tackle by Parry Nickerson),0.560,0.400
2,14:06,4,12,NYJ 43,7,0,Colby Wadman punts 20 yards out of bounds,0.400,-0.480
2,13:59,1,10,NYJ 23,7,6,"Isaiah Crowell left end for 77 yards, touchdown",0.480,7.000
2,13:47,,,DEN 15,7,7,Jason Myers kicks extra point good,0.000,0.000
2,13:47,,,NYJ 35,7,7,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
