Quarter,Time,Tm,Detail,DEN,ARI
1.0,14:01,Broncos,Todd Davis 20 yard interception return (Brandon McManus kick),7,0
,8:38,Broncos,Courtland Sutton 28 yard pass from Emmanuel Sanders (Brandon McManus kick),14,0
,5:18,Cardinals,Phil Dawson 43 yard field goal,14,3
,2:02,Broncos,Chris Harris Jr. 53 yard interception return (Brandon McManus kick),21,3
2.0,14:40,Broncos,Emmanuel Sanders 64 yard pass from Case Keenum (Brandon McManus kick),28,3
,0:21,Broncos,Royce Freeman 1 yard rush (Brandon McManus kick),35,3
3.0,8:33,Cardinals,Larry Fitzgerald 4 yard pass from Josh Rosen (Phil Dawson kick),35,10
,3:32,Broncos,Phillip Lindsay 28 yard rush (Brandon McManus kick),42,10
4.0,5:35,Broncos,Brandon McManus 41 yard field goal,45,10
