Unnamed: 0,DEN,ARI
First Downs,15,14
Rush-Yds-TDs,31-131-2,21-69-0
Cmp-Att-Yd-TD-INT,15-22-189-2-1,21-39-194-1-3
Sacked-Yards,2-11,6-40
Net Pass Yards,178,154
Total Yards,309,223
Fumbles-Lost,0-0,3-2
Turnovers,1,5
Penalties-Yards,5-50,7-45
Third Down Conv.,5-13,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,30:49,29:11
