Quarter,Time,Down,ToGo,Location,OAK,DET,Detail,EPB,EPA
2,15:00,2,4,OAK 22,0,6,Latavius Murray left tackle for 4 yards (tackle by Isa Abdul-Quddus and Quandre Diggs),0.280,0.670
2,14:31,1,10,OAK 26,0,6,Latavius Murray right end for -3 yards (tackle by Khyri Thornton),0.670,-0.280
2,13:53,2,13,OAK 23,0,6,Derek Carr pass complete short middle to Clive Walford for 18 yards (tackle by Glover Quin and Stephen Tulloch),-0.280,1.660
2,13:18,1,10,OAK 41,0,6,Latavius Murray right tackle for 6 yards (tackle by Stephen Tulloch),1.660,1.930
2,12:41,2,4,OAK 47,0,6,Jamize Olawale left tackle for no gain (tackle by Isa Abdul-Quddus),1.930,1.220
2,12:00,3,4,OAK 47,0,6,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",1.220,0.560
2,11:29,3,9,OAK 42,0,6,Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Nevin Lawson),0.560,-0.590
2,11:22,4,9,OAK 42,0,6,"Marquette King fumbles, recovered by Marquette King at OAK-28. Marquette King punts 47 yards, returned by Golden Tate for no gain",-0.590,0.370
2,11:12,1,10,DET 11,0,6,Ameer Abdullah right tackle for 9 yards (tackle by Ben Heeney),-0.370,0.360
2,10:32,2,1,DET 20,0,6,Matthew Stafford pass incomplete deep left intended for Calvin Johnson,0.360,-0.370
2,10:25,3,1,DET 20,0,6,Golden Tate left end for -2 yards (tackle by Nate Allen),-0.370,-2.240
2,9:55,4,3,DET 18,0,6,"Sam Martin punts 53 yards, returned by Amari Cooper for 12 yards (tackle by Travis Lewis). Penalty on Brandon Pettigrew: Illegal Formation, 5 yards",-2.240,-1.990
2,9:42,1,10,OAK 46,0,6,Latavius Murray left tackle for -1 yards (tackle by C.J. Wilson),1.990,1.320
2,9:04,2,11,OAK 45,0,6,Derek Carr pass complete short right to Michael Crabtree for 8 yards (tackle by Quandre Diggs),1.320,1.690
2,8:25,3,3,DET 47,0,6,Derek Carr pass incomplete short left intended for Amari Cooper,1.690,0.130
2,8:21,4,3,DET 47,0,6,"Marquette King punts 32 yards, fair catch by Lance Moore",0.130,0.220
2,8:12,1,10,DET 15,0,6,Ameer Abdullah right tackle for 1 yard (tackle by Curtis Lofton),-0.220,-0.580
2,7:31,2,9,DET 16,0,6,Matthew Stafford pass incomplete short right intended for Theo Riddick (defended by Justin Ellis),-0.580,-1.250
2,7:26,3,9,DET 16,0,6,Matthew Stafford pass complete short right to Brandon Pettigrew for 8 yards (tackle by Khalil Mack),-1.250,-1.770
2,6:55,4,1,DET 24,0,6,"Sam Martin punts 50 yards, returned by Amari Cooper for no gain",-1.770,-0.670
2,6:44,1,10,OAK 26,0,6,Derek Carr pass complete short left to Michael Crabtree for 7 yards (tackle by Nevin Lawson),0.670,1.070
2,6:09,2,3,OAK 33,0,6,Latavius Murray left end for 16 yards (tackle by Glover Quin),1.070,2.190
2,5:31,1,10,OAK 49,0,6,Jamize Olawale left tackle for 5 yards (tackle by Nevin Lawson),2.190,2.320
2,5:04,2,5,DET 46,0,6,Derek Carr pass incomplete short left intended for Michael Crabtree,2.320,1.620
2,5:00,3,5,DET 46,0,6,Derek Carr pass complete short right to Clive Walford for 7 yards (tackle by Tahir Whitehead),1.620,2.980
2,4:18,1,10,DET 39,0,6,Latavius Murray middle for -5 yards (tackle by Haloti Ngata),2.980,1.770
2,3:38,2,15,DET 44,0,6,"Derek Carr pass complete short left to Michael Crabtree for 2 yards (tackle by Quandre Diggs). Michael Crabtree fumbles (forced by Quandre Diggs), recovered by Michael Crabtree at DET-42",1.770,1.360
2,2:57,3,13,DET 42,0,6,Derek Carr pass incomplete short left intended for Amari Cooper,1.360,0.460
2,2:51,4,13,DET 42,0,6,Marquette King punts 32 yards,0.460,0.380
2,2:40,1,10,DET 10,0,6,Matthew Stafford pass incomplete short right intended for Calvin Johnson (defended by David Amerson),-0.380,-0.780
2,2:35,2,10,DET 10,0,6,Matthew Stafford pass complete short left to Golden Tate for 9 yards (tackle by T.J. Carrie and Ben Heeney),-0.780,-0.370
2,2:00,3,1,DET 19,0,6,Matthew Stafford pass complete short right to Golden Tate for 5 yards (tackle by D.J. Hayden and Ben Heeney),-0.370,0.540
2,1:36,1,10,DET 24,0,6,Matthew Stafford pass complete short left to Calvin Johnson for 20 yards (tackle by T.J. Carrie),0.540,1.860
2,1:15,1,10,DET 44,0,6,Matthew Stafford sacked by Malcolm Smith for 0 yards,1.860,1.320
2,1:06,2,10,DET 44,0,6,Matthew Stafford sacked by Ben Heeney for -5 yards,1.320,-0.030
2,0:29,3,15,DET 39,0,6,Matthew Stafford pass complete deep left to Calvin Johnson for 36 yards (tackle by Nate Allen),-0.030,-0.030
2,0:21,3,15,DET 39,0,6,Timeout #1 by Detroit Lions,-0.030,3.910
2,0:21,1,10,OAK 25,0,6,"Matthew Stafford pass incomplete. Penalty on Matthew Stafford: Intentional Grounding, 10 yards",3.910,3.910
2,0:15,1,10,OAK 25,0,6,Timeout #2 by Detroit Lions,3.910,2.010
2,0:15,2,20,OAK 35,0,6,Matthew Stafford pass complete short left to Golden Tate for 2 yards (tackle by T.J. Carrie),2.010,1.620
2,0:11,3,18,OAK 33,0,6,Matthew Stafford pass incomplete deep left intended for Golden Tate,1.620,1.620
2,0:07,3,18,OAK 33,0,6,Timeout #1 by Oakland Raiders,1.620,1.150
2,0:07,4,18,OAK 33,0,9,Matt Prater 51 yard field goal good,1.150,3.000
2,0:07,,,DET 35,0,9,"Sam Martin kicks off 61 yards, returned by Marcel Reece for 14 yards (tackle by Don Carey)",0.000,1.270
Quarter,Time,Down,ToGo,Location,OAK,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,0,9,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,OAK 20,0,9,Derek Carr pass complete deep middle to Seth Roberts for 43 yards (tackle by Isa Abdul-Quddus),0.280,3.120
3,14:18,1,10,DET 37,0,9,Latavius Murray right end for 2 yards (tackle by Josh Bynes),3.120,2.840
3,13:35,2,8,DET 35,0,9,Latavius Murray middle for no gain (tackle by Stephen Tulloch),2.840,2.150
3,12:52,3,8,DET 35,0,9,"Derek Carr pass incomplete deep middle intended for Michael Crabtree is intercepted by Quandre Diggs at DET-12. Penalty on Nevin Lawson: Defensive Holding, 5 yards (no play)",2.150,3.580
3,12:45,1,10,DET 30,0,9,Derek Carr pass complete short middle to Michael Crabtree for 15 yards (tackle by Nevin Lawson),3.580,4.580
3,12:19,1,10,DET 15,0,9,Derek Carr pass incomplete short right intended for Clive Walford,4.580,3.950
3,12:14,2,10,DET 15,0,9,Derek Carr pass complete short left to Amari Cooper for 4 yards (tackle by Quandre Diggs),3.950,3.780
3,11:39,3,6,DET 11,0,9,Derek Carr left tackle for 8 yards (tackle by Isa Abdul-Quddus),3.780,6.510
3,11:13,1,3,DET 3,0,9,Marcel Reece middle for 2 yards (tackle by Caraun Reid),6.510,5.910
3,10:45,2,1,DET 1,0,9,Marcel Reece middle for no gain (tackle by Josh Bynes),5.910,5.170
3,10:28,3,1,DET 1,6,9,"Latavius Murray right tackle for 1 yard, touchdown",5.170,7.000
3,10:28,,,DET 1,7,9,Sebastian Janikowski kicks extra point good,0.000,0.000
3,10:28,,,OAK 35,7,9,"Sebastian Janikowski kicks off 69 yards, returned by Ameer Abdullah for 25 yards (tackle by Lorenzo Alexander)",0.000,-0.340
3,10:17,1,10,DET 21,7,9,Ameer Abdullah left end for 4 yards (tackle by Justin Ellis),0.340,0.340
3,9:40,2,6,DET 25,7,9,Matthew Stafford pass incomplete short right intended for Calvin Johnson (defended by David Amerson),0.340,-0.360
3,9:33,3,6,DET 25,7,9,"Matthew Stafford sacked by Stacy McGee for -7 yards. Penalty on Taylor Mays: Defensive Holding, 5 yards (no play)",-0.360,0.940
3,9:05,1,10,DET 30,7,9,Ameer Abdullah right tackle for -1 yards (tackle by Khalil Mack),0.940,0.260
3,8:24,2,11,DET 29,7,9,Ameer Abdullah right end for 6 yards (tackle by Khalil Mack),0.260,0.370
3,7:41,3,5,DET 35,7,9,Matthew Stafford sacked by Denico Autry for -8 yards,0.370,-1.570
3,7:01,4,13,DET 27,7,9,"Sam Martin punts 30 yards. Penalty on Corey Fuller: Player Out of Bounds on Punt, 5 yards",-1.570,-2.130
3,6:50,1,10,OAK 48,7,9,Derek Carr pass complete short left to Michael Crabtree for 8 yards (tackle by Darius Slay),2.130,2.130
3,6:15,1,10,OAK 48,7,9,Timeout #1 by Oakland Raiders,2.130,2.660
3,6:15,2,2,DET 44,7,9,Derek Carr pass incomplete deep left intended for Andre Holmes,2.660,1.950
3,6:09,3,2,DET 44,7,9,Derek Carr pass complete short right to Michael Crabtree for 10 yards (tackle by Nevin Lawson),1.950,3.310
3,5:33,1,10,DET 34,7,9,Latavius Murray middle for 3 yards (tackle by Josh Bynes and James Ihedigbo),3.310,3.180
3,4:51,2,7,DET 31,7,9,Jamize Olawale middle for 1 yard (tackle by C.J. Wilson),3.180,2.610
3,4:06,3,6,DET 30,7,9,Derek Carr pass incomplete short right intended for Marcel Reece (defended by Isa Abdul-Quddus),2.610,1.430
3,4:00,4,6,DET 30,10,9,Sebastian Janikowski 48 yard field goal good,1.430,3.000
3,4:00,,,OAK 35,10,9,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,3:55,1,10,DET 20,10,9,Matthew Stafford pass complete short right to Golden Tate for 6 yards (tackle by Khalil Mack),0.280,0.540
3,3:23,2,4,DET 26,10,9,Ameer Abdullah right end for -1 yards (tackle by Khalil Mack),0.540,-0.300
3,2:39,3,5,DET 25,10,9,Matthew Stafford pass incomplete short right intended for Eric Ebron,-0.300,-1.700
3,2:31,4,5,DET 25,10,9,"Sam Martin punts 48 yards, returned by Amari Cooper for no gain",-1.700,-0.740
3,2:21,1,10,OAK 27,10,9,"Derek Carr pass incomplete short right intended for Marcel Reece. Penalty on Glover Quin: Defensive Pass Interference, 15 yards (no play)",0.740,1.730
3,2:14,1,10,OAK 42,10,9,Derek Carr pass complete short middle to Mychal Rivera for 21 yards (tackle by Glover Quin),1.730,3.120
3,1:40,1,10,DET 37,10,9,Derek Carr pass incomplete short middle intended for Mychal Rivera (defended by Josh Bynes),3.120,2.570
3,1:32,2,10,DET 37,10,9,Latavius Murray left tackle for 4 yards (tackle by Tahir Whitehead),2.570,2.410
3,0:44,3,6,DET 33,10,9,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",2.410,1.750
3,0:26,3,11,DET 38,10,9,Derek Carr pass incomplete short right intended for Michael Crabtree,1.750,0.720
3,0:20,4,11,DET 38,13,9,Sebastian Janikowski 56 yard field goal good,0.720,3.000
3,0:20,,,OAK 35,13,9,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,0:15,1,10,DET 20,13,9,Matthew Stafford pass complete short right to Golden Tate for 21 yards (tackle by Charles Woodson),0.280,1.660
Quarter,Time,Down,ToGo,Location,OAK,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 41,13,9,Theo Riddick right tackle for no gain (tackle by Ben Heeney),1.660,1.120
4,14:29,2,10,DET 41,13,9,Matthew Stafford pass incomplete short right intended for Calvin Johnson (defended by David Amerson),1.120,0.430
4,14:24,3,10,DET 41,13,9,Matthew Stafford pass complete short middle to Theo Riddick for 16 yards (tackle by Taylor Mays),0.430,2.720
4,13:51,1,10,OAK 43,13,9,Theo Riddick right tackle for 5 yards (tackle by Stacy McGee),2.720,2.850
4,13:20,2,5,OAK 38,13,9,Matthew Stafford pass complete short left to Calvin Johnson for 7 yards (tackle by T.J. Carrie),2.850,3.510
4,12:38,1,10,OAK 31,13,9,Matthew Stafford pass complete short right to Theo Riddick for 8 yards (tackle by D.J. Hayden),3.510,4.050
4,11:52,2,2,OAK 23,13,9,Matthew Stafford for 18 yards (tackle by D.J. Hayden),4.050,6.060
4,11:08,1,5,OAK 5,13,15,"Matthew Stafford middle for 5 yards, touchdown",6.060,7.000
4,11:08,,,OAK 5,13,16,Matt Prater kicks extra point good,0.000,0.000
4,11:08,,,DET 35,13,16,"Sam Martin kicks off 68 yards, returned by Seth Roberts for 24 yards (tackle by Quandre Diggs)",0.000,-0.340
4,10:58,1,10,OAK 21,13,16,Derek Carr sacked by Ezekiel Ansah for -5 yards,0.340,-1.010
4,10:20,2,15,OAK 16,13,16,Latavius Murray middle for -5 yards (tackle by Jason Jones),-1.010,-2.590
4,9:37,3,20,OAK 11,13,16,Derek Carr pass complete short right to Seth Roberts for 11 yards (tackle by Darius Slay). Penalty on Mychal Rivera: Offensive Pass Interference (Declined),-2.590,-1.900
4,9:16,4,9,OAK 22,13,16,"Marquette King punts 66 yards, returned by Golden Tate for 14 yards (tackle by Ray-Ray Armstrong)",-1.900,-0.670
4,9:01,1,10,DET 26,13,16,Matthew Stafford pass incomplete short left intended for Golden Tate (defended by D.J. Hayden),0.670,0.130
4,8:57,2,10,DET 26,13,16,Matthew Stafford pass incomplete short middle intended for Lance Moore (defended by Ben Heeney),0.130,-0.560
4,8:51,3,10,DET 26,13,16,Matthew Stafford right end for 5 yards (tackle by Taylor Mays),-0.560,-1.310
4,8:12,4,5,DET 31,13,16,"Sam Martin punts 57 yards, returned by Amari Cooper for 4 yards (tackle by Corey Fuller). Penalty on Neiko Thorpe: Illegal Block Above the Waist, 8 yards",-1.310,0.380
4,8:01,1,10,OAK 8,13,16,"Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Darius Slay). Penalty on Clive Walford: Offensive Holding, 4 yards (no play)",-0.380,-0.530
4,7:54,1,14,OAK 4,13,16,Derek Carr pass incomplete short left intended for Amari Cooper,-0.530,-1.070
4,7:50,2,14,OAK 4,13,16,Derek Carr pass incomplete short middle intended for Michael Crabtree (defended by Quandre Diggs),-1.070,-1.890
4,7:44,3,14,OAK 4,13,18,"Derek Carr pass complete short right to Mychal Rivera for 9 yards (tackle by Quandre Diggs), safety. Penalty on Donald Penn: Offensive Holding, 4 yards",-1.890,-2.000
4,7:44,,,OAK 20,13,18,"Marquette King kicks off 76 yards, returned by Golden Tate for 26 yards (tackle by David Amerson)",0.000,-0.940
4,7:22,1,10,DET 30,13,18,Theo Riddick right tackle for 3 yards (tackle by Mario Edwards),0.940,0.800
4,6:24,2,7,DET 33,13,18,Matthew Stafford pass complete short left to Golden Tate for 7 yards (tackle by T.J. Carrie),0.800,1.600
4,6:07,1,10,DET 40,13,18,Theo Riddick right tackle for 1 yard (tackle by Khalil Mack),1.600,1.190
4,5:23,2,9,DET 41,13,18,Matthew Stafford pass complete short left to Theo Riddick for 21 yards (tackle by T.J. Carrie),1.190,3.050
4,4:34,1,10,OAK 38,13,18,Theo Riddick right end for 1 yard (tackle by Khalil Mack),3.050,2.640
4,3:50,2,9,OAK 37,13,18,Matthew Stafford pass complete short middle to Theo Riddick for 11 yards (tackle by Malcolm Smith),2.640,3.840
4,3:12,1,10,OAK 26,13,18,Ameer Abdullah right tackle for 7 yards (tackle by Neiko Thorpe),3.840,3.840
4,2:59,1,10,OAK 26,13,18,Timeout #2 by Oakland Raiders,3.840,4.270
4,2:59,2,3,OAK 19,13,18,Ameer Abdullah left end for no gain (tackle by Mario Edwards),4.270,4.270
4,2:53,2,3,OAK 19,13,18,Timeout #3 by Oakland Raiders,4.270,3.570
4,2:53,3,3,OAK 19,13,18,Joique Bell left tackle for 5 yards (tackle by Dan Williams),3.570,4.650
4,2:09,1,10,OAK 14,13,18,Joique Bell left tackle for 1 yard (tackle by Nate Allen),4.650,4.160
4,2:00,2,9,OAK 13,13,18,Joique Bell middle for 11 yards (tackle by Charles Woodson),4.160,6.740
4,1:17,1,2,OAK 2,13,18,Matthew Stafford kneels for -1 yards,6.740,5.530
4,0:37,2,3,OAK 3,13,18,Matthew Stafford kneels for -1 yards,5.530,4.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
