Unnamed: 0,OAK,DET
First Downs,13,22
Rush-Yds-TDs,21-52-1,31-109-1
Cmp-Att-Yd-TD-INT,13-25-169-0-0,22-35-282-0-0
Sacked-Yards,1-5,4-16
Net Pass Yards,164,266
Total Yards,216,375
Fumbles-Lost,3-0,0-0
Turnovers,0,0
Penalties-Yards,6-31,7-55
Third Down Conv.,4-11,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,23:58,36:02
