Quarter,Time,Tm,Detail,JAX,HOU
1.0,6:02,Jaguars,LaBrandon Toefield 1 yard rush (Josh Scobee kick),7,0
,2:21,Texans,Kris Brown 37 yard field goal,7,3
2.0,11:43,Texans,Corey Bradford 50 yard pass from David Carr (Kris Brown kick),7,10
,4:35,Jaguars,Josh Scobee 26 yard field goal,10,10
,1:03,Texans,Kris Brown 53 yard field goal,10,13
3.0,4:03,Jaguars,LaBrandon Toefield 2 yard rush (Josh Scobee kick),17,13
4.0,12:15,Texans,Andre Johnson 53 yard pass from David Carr (Kris Brown kick),17,20
,9:16,Jaguars,Fred Taylor 15 yard rush (Josh Scobee kick),24,20
,2:37,Jaguars,Ernest Wilford 36 yard pass from David Garrard (Josh Scobee kick),31,20
,1:51,Jaguars,LaBrandon Toefield 17 yard rush (Josh Scobee kick),38,20
