Quarter,Time,Tm,Detail,ARI,BUF
1.0,3:29,Bills,Dan Carpenter 19 yard field goal,0,3
,0:55,Bills,LeSean McCoy 24 yard rush (Dan Carpenter kick),0,10
2.0,10:25,Bills,LeSean McCoy 5 yard rush (Dan Carpenter kick),0,17
,1:05,Cardinals,David Johnson 4 yard rush (Chandler Catanzaro kick),7,17
3.0,10:31,Bills,Tyrod Taylor 20 yard rush (Dan Carpenter kick failed),7,23
,2:25,Bills,Aaron Williams 53 yard defensive fumble return (Dan Carpenter kick),7,30
,0:12,Cardinals,David Johnson 22 yard rush (pass failed),13,30
4.0,10:36,Cardinals,Chandler Catanzaro 60 yard field goal,16,30
,4:48,Bills,Dan Carpenter 45 yard field goal,16,33
,3:04,Cardinals,"Safety, LeSean McCoy tackled in end zone by Corey Peters",18,33
