Unnamed: 0,ARI,BUF
First Downs,25,16
Rush-Yds-TDs,22-88-2,32-208-3
Cmp-Att-Yd-TD-INT,26-50-287-0-4,14-25-119-0-1
Sacked-Yards,5-27,4-30
Net Pass Yards,260,89
Total Yards,348,297
Fumbles-Lost,3-1,3-0
Turnovers,5,1
Penalties-Yards,8-50,9-75
Third Down Conv.,5-15,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,34:00,26:00
