Quarter,Time,Down,ToGo,Location,ARI,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Chandler Catanzaro kicks off 65 yards, returned by Brandon Tate for 20 yards (tackle by Gabe Martin)",0.000,-0.280
1,14:54,1,10,BUF 20,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for no gain,0.280,-0.270
1,14:17,2,10,BUF 20,0,0,"Penalty on Jordan Mills: False Start, 5 yards (no play)",-0.270,-1.070
1,13:57,2,15,BUF 15,0,0,Tyrod Taylor pass complete short left to LeSean McCoy for 3 yards (tackle by Kevin Minter),-1.070,-1.330
1,13:19,3,12,BUF 18,0,0,Tyrod Taylor sacked by Kevin Minter for -13 yards,-1.330,-2.490
1,12:47,4,25,BUF 5,0,0,"Colton Schmidt punts 45 yards, returned by John Brown for 12 yards (tackle by Preston Brown)",-2.490,-3.050
1,12:37,1,10,BUF 38,0,0,Carson Palmer pass incomplete short right intended for Michael Floyd,3.050,2.510
1,12:32,2,10,BUF 38,0,0,David Johnson left tackle for 2 yards (tackle by Zach Brown and Adolphus Washington),2.510,2.080
1,11:50,3,8,BUF 36,0,0,Carson Palmer pass incomplete short right intended for Larry Fitzgerald,2.080,0.880
1,11:43,4,8,BUF 36,0,0,Donald Butler punts 25 yards,0.880,0.370
1,11:32,1,10,BUF 11,0,0,Tyrod Taylor pass complete short right to Robert Woods for 5 yards (tackle by Marcus Cooper),-0.370,-0.300
1,10:52,2,5,BUF 16,0,0,Tyrod Taylor pass complete short left to Marquise Goodwin for 6 yards (tackle by Deone Bucannon),-0.300,0.410
1,10:17,1,10,BUF 22,0,0,LeSean McCoy right guard for 1 yard (tackle by Corey Peters and Markus Golden),0.410,0.000
1,9:45,2,9,BUF 23,0,0,Tyrod Taylor pass incomplete deep right intended for Robert Woods,0.000,-0.690
1,9:39,3,9,BUF 23,0,0,Tyrod Taylor pass incomplete deep right intended for Robert Woods,-0.690,-1.830
1,9:32,4,9,BUF 23,0,0,"Colton Schmidt punts 39 yards, fair catch by John Brown",-1.830,-1.470
1,9:24,1,10,ARI 38,0,0,David Johnson middle for 2 yards (tackle by Zach Brown and Brandon Spikes),1.470,1.190
