Unnamed: 0,JAX,CIN
First Downs,19,23
Rush-Yds-TDs,25-132-1,34-191-2
Cmp-Att-Yd-TD-INT,22-33-247-2-1,19-31-233-2-2
Sacked-Yards,2-14,2-1
Net Pass Yards,233,232
Total Yards,365,423
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,3-35,6-40
Third Down Conv.,4-12,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:16,32:44
