Unnamed: 0,CIN,IND
First Downs,14,22
Rush-Yds-TDs,21-110-1,25-114-1
Cmp-Att-Yd-TD-INT,18-35-155-0-0,31-44-376-1-0
Sacked-Yards,3-11,1-8
Net Pass Yards,144,368
Total Yards,254,482
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,6-45,9-66
Third Down Conv.,6-15,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,25:50,34:10
