Quarter,Time,Down,ToGo,Location,CIN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 74 yards, returned by Josh Cribbs for 38 yards (tackle by Cedric Peerman)",0.000,-0.870
1,14:53,1,10,IND 29,0,0,Andrew Luck pass incomplete short right intended for Dan Herron,0.870,0.330
1,14:49,2,10,IND 29,0,0,Andrew Luck pass complete short middle to Dan Herron for 18 yards (tackle by Dre Kirkpatrick),0.330,2.060
1,14:12,1,10,IND 47,0,0,"Penalty on Geno Atkins: Neutral Zone Infraction, 5 yards (no play)",2.060,2.790
1,13:48,1,5,CIN 48,0,0,Andrew Luck pass complete short left to Dan Herron for 8 yards (tackle by Terence Newman),2.790,2.920
1,13:17,1,10,CIN 40,0,0,Andrew Luck pass incomplete deep right intended for T.Y. Hilton (defended by Terence Newman),2.920,2.370
1,13:09,2,10,CIN 40,0,0,Dan Herron left end for 27 yards (tackle by Dre Kirkpatrick and Reggie Nelson),2.370,4.710
1,12:25,1,10,CIN 13,0,0,Dan Herron left tackle for 3 yards (tackle by Geno Atkins),4.710,4.580
1,11:48,2,7,CIN 10,0,0,Andrew Luck pass incomplete short middle intended for T.Y. Hilton (defended by Rey Maualuga),4.580,3.650
1,11:44,3,7,CIN 10,0,0,Andrew Luck pass complete short middle to Dwayne Allen for 8 yards (tackle by Emmanuel Lamur),3.650,6.740
1,11:11,1,2,CIN 2,0,6,"Dan Herron up the middle for 2 yards, touchdown",6.740,7.000
1,11:11,,,CIN 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,11:11,,,IND 35,0,7,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,11:05,1,10,CIN 20,0,7,Rex Burkhead left end for 23 yards (tackle by Vontae Davis),0.280,1.800
1,10:33,1,10,CIN 43,0,7,Jeremy Hill up the middle for 1 yard (tackle by Erik Walden),1.800,1.390
1,9:56,2,9,CIN 44,0,7,Jeremy Hill up the middle for 8 yards (tackle by Jerrell Freeman),1.390,1.750
1,9:11,3,1,IND 48,0,7,Jeremy Hill right guard for 2 yards (tackle by LaRon Landry and Jerrell Freeman),1.750,2.520
1,8:26,1,10,IND 46,0,7,Andy Dalton pass incomplete short right intended for Giovani Bernard,2.520,1.980
1,8:22,2,10,IND 46,0,7,Jeremy Hill up the middle for 3 yards (tackle by D'Qwell Jackson and Cory Redding),1.980,1.680
1,7:35,3,7,IND 43,0,7,Andy Dalton pass complete short left to Rex Burkhead for 4 yards (tackle by Vontae Davis),1.680,0.660
1,7:01,4,3,IND 39,0,7,"Kevin Huber punts 31 yards, fair catch by Josh Cribbs",0.660,0.380
1,6:52,1,10,IND 9,0,7,Andrew Luck pass complete short right to Donte Moncrief for 7 yards (tackle by Rey Maualuga),-0.380,-0.160
1,6:17,2,3,IND 16,0,7,Andrew Luck pass incomplete deep left intended for T.Y. Hilton,-0.160,-0.600
1,6:11,3,3,IND 16,0,7,Andrew Luck pass incomplete deep left intended for T.Y. Hilton,-0.600,-2.390
1,6:04,4,3,IND 16,0,7,"Pat McAfee punts 59 yards, returned by Adam Jones for 1 yard (tackle by Dewey McDonald)",-2.390,-0.670
1,5:54,1,10,CIN 26,0,7,Andy Dalton pass complete short right to Mohamed Sanu for 10 yards (tackle by D'Qwell Jackson),0.670,1.330
1,5:23,1,10,CIN 36,0,7,Jeremy Hill left tackle for -1 yards (tackle by Arthur Jones and D'Qwell Jackson),1.330,0.660
1,4:43,2,11,CIN 35,0,7,Andy Dalton pass complete short right to Mohamed Sanu for 10 yards (tackle by Greg Toler),0.660,1.290
1,4:33,3,1,CIN 45,0,7,Jeremy Hill for 18 yards (tackle by Mike Adams),1.290,3.120
1,3:55,1,10,IND 37,0,7,Andy Dalton pass incomplete short left intended for Mohamed Sanu,3.120,2.570
1,3:51,2,10,IND 37,0,7,Giovani Bernard left guard for 6 yards (tackle by Jerrell Freeman and D'Qwell Jackson),2.570,2.680
1,3:06,3,4,IND 31,0,7,Andy Dalton pass complete short middle to Rex Burkhead for 26 yards (tackle by Mike Adams),2.680,6.060
1,2:20,1,5,IND 5,0,7,Jeremy Hill right tackle for 4 yards (tackle by Jerrell Freeman and Mike Adams),6.060,5.910
1,2:20,2,1,IND 1,0,7,Penalty on Vontae Davis: Defensive 12 On-field (no play),5.910,5.910
1,1:31,2,1,IND 1,6,7,"Jeremy Hill up the middle for 1 yard, touchdown",5.910,7.000
1,1:31,,,IND 2,7,7,Mike Nugent kicks extra point good,0.000,0.000
1,1:31,,,CIN 35,7,7,"Mike Nugent kicks off 65 yards, returned by Zurlon Tipton for 9 yards (tackle by Taylor Mays)",0.000,0.380
1,1:23,1,10,IND 9,7,7,Andrew Luck pass complete short middle to Dan Herron for 7 yards (tackle by Vincent Rey),-0.380,-0.160
1,1:02,2,3,IND 16,7,7,Andrew Luck pass incomplete deep right intended for T.Y. Hilton,-0.160,-0.600
1,0:55,3,3,IND 16,7,7,Andrew Luck right tackle for 18 yards (tackle by Adam Jones),-0.600,1.200
1,0:18,1,10,IND 34,7,7,Andrew Luck pass incomplete deep right intended for Coby Fleener (defended by Leon Hall),1.200,0.660
1,0:11,2,10,IND 34,7,7,Andrew Luck pass complete short left to Jack Doyle for 4 yards (tackle by Rey Maualuga),0.660,0.500
Quarter,Time,Down,ToGo,Location,CIN,IND,Detail,EPB,EPA
