Quarter,Time,Tm,Detail,OAK,DAL
1.0,0:39,Cowboys,Nick Folk 36 yard field goal,0,3
2.0,10:48,Cowboys,Felix Jones 46 yard rush (Nick Folk kick),0,10
,0:31,Cowboys,Miles Austin 9 yard pass from Tony Romo (Nick Folk kick),0,17
3.0,5:37,Raiders,Darrius Heyward-Bey 4 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),7,17
4.0,13:12,Cowboys,Roy Williams 6 yard pass from Tony Romo (Nick Folk kick),7,24
