Quarter,Time,Tm,Detail,SDG,NOR
1.0,6:56,Chargers,Robert Meachem 15 yard pass from Philip Rivers (Nick Novak kick),7,0
,2:58,Saints,Devery Henderson 40 yard pass from Drew Brees (Garrett Hartley kick),7,7
2.0,9:58,Chargers,Nick Novak 20 yard field goal,10,7
,7:19,Saints,Marques Colston 19 yard pass from Drew Brees (Garrett Hartley kick),10,14
,0:36,Chargers,Robert Meachem 44 yard pass from Philip Rivers (Nick Novak kick),17,14
3.0,12:27,Chargers,Ryan Mathews 13 yard rush (Nick Novak kick),24,14
,0:11,Saints,Marques Colston 16 yard pass from Drew Brees (Garrett Hartley kick),24,21
4.0,8:50,Saints,Marques Colston 5 yard pass from Drew Brees (Garrett Hartley kick),24,28
,2:56,Saints,Garrett Hartley 26 yard field goal,24,31
