Unnamed: 0,SDG,NOR
First Downs,27,21
Rush-Yds-TDs,18-117-1,21-53-0
Cmp-Att-Yd-TD-INT,27-42-354-2-1,29-45-370-4-1
Sacked-Yards,5-44,3-19
Net Pass Yards,310,351
Total Yards,427,404
Fumbles-Lost,1-1,2-0
Turnovers,2,1
Penalties-Yards,7-56,10-99
Third Down Conv.,4-12,9-16
Fourth Down Conv.,0-0,0-1
Time of Possession,30:34,29:26
