Quarter,Time,Tm,Detail,MIA,BUF
1,6:24,Dolphins,Jay Ajayi 2 yard rush (Andrew Franks kick),7,0
2,13:34,Dolphins,Kenyan Drake 45 yard rush (Andrew Franks kick),14,0
,5:06,Bills,Sammy Watkins 38 yard pass from Tyrod Taylor (Dan Carpenter kick),14,7
3,12:05,Dolphins,DeVante Parker 56 yard pass from Matt Moore (Andrew Franks kick),21,7
,6:46,Bills,LeSean McCoy 19 yard rush (Dan Carpenter kick),21,14
,3:14,Dolphins,Kenny Stills 6 yard pass from Matt Moore (Andrew Franks kick),28,14
,1:12,Bills,Charles Clay 18 yard pass from Tyrod Taylor (Dan Carpenter kick),28,21
4,5:51,Bills,Dan Carpenter 28 yard field goal,28,24
,1:20,Bills,Charles Clay 7 yard pass from Tyrod Taylor (Dan Carpenter kick),28,31
,0:06,Dolphins,Andrew Franks 55 yard field goal,31,31
OT,0:47,Dolphins,Andrew Franks 27 yard field goal,34,31
