Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIA 20,0,0,Ryan Tannehill pass complete deep left to Mike Wallace for 50 yards (tackle by Malcolm Butler),0.280,3.580
1,14:43,1,10,NWE 30,0,0,Lamar Miller right guard for 1 yard (tackle by Vince Wilfork),3.580,3.170
1,14:07,2,9,NWE 29,0,0,Rishard Matthews left end for 3 yards (tackle by Jonathan Casillas),3.170,2.870
1,13:29,3,6,NWE 26,0,0,Lamar Miller left end for 3 yards (tackle by Devin McCourty and Chandler Jones),2.870,2.030
1,12:47,4,3,NWE 23,0,6,"Caleb Sturgis 41 yard field goal no good, blocked by Jamie Collins, recovered by Kyle Arrington and returned for 62 yards, touchdown",2.030,-7.000
1,12:36,,,MIA 2,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,12:36,,,NWE 35,0,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,12:36,1,10,MIA 20,0,7,Lamar Miller right tackle for 3 yards (tackle by Sealver Siliga and Jonathan Casillas),0.280,0.140
1,12:01,2,7,MIA 23,0,7,Ryan Tannehill pass complete short right to Charles Clay for 5 yards (tackle by Vince Wilfork),0.140,0.100
1,11:22,3,2,MIA 28,0,7,Ryan Tannehill pass complete short middle to Damian Williams for 5 yards (tackle by Jamie Collins),0.100,1.140
1,10:47,1,10,MIA 33,0,7,Lamar Miller left end for 10 yards (tackle by Patrick Chung),1.140,1.800
1,10:14,1,10,MIA 43,0,7,"Lamar Miller up the middle for 2 yards (tackle by Jamie Collins and Alan Branch). Penalty on Ja'Wuan James: Face Mask (15 Yards), 15 yards (no play)",1.800,0.810
1,9:54,1,25,MIA 28,0,7,Lamar Miller left guard for 2 yards (tackle by Chandler Jones and Patrick Chung),0.810,-0.500
1,9:19,2,23,MIA 30,0,7,Ryan Tannehill pass complete short middle to Jarvis Landry for 8 yards (tackle by Patrick Chung and Dont'a Hightower),-0.500,-0.100
1,8:37,3,15,MIA 38,0,7,Ryan Tannehill pass incomplete deep right intended for Brian Hartline,-0.100,-0.850
1,8:31,4,15,MIA 38,0,7,"Brandon Fields punts 47 yards, returned by Julian Edelman for 5 yards (tackle by Don Jones)",-0.850,-0.280
1,8:21,1,10,NWE 20,0,7,Tom Brady pass complete short left to Julian Edelman for 15 yards (tackle by Reshad Jones),0.280,1.270
1,7:54,1,10,NWE 35,0,7,Shane Vereen left end for -1 yards (tackle by Jason Trusnik),1.270,0.590
1,7:21,2,11,NWE 34,0,7,Tom Brady pass complete short left to Julian Edelman for 10 yards (tackle by Kelvin Sheppard and Jimmy Wilson),0.590,1.220
1,6:47,3,1,NWE 44,0,7,Julian Edelman right tackle for 6 yards (tackle by Reshad Jones),1.220,2.260
1,6:16,1,10,,0,7,Tom Brady pass complete short left to Julian Edelman for 12 yards (tackle by Philip Wheeler),2.260,3.050
1,5:53,1,10,MIA 38,0,7,Tom Brady pass incomplete short left intended for Brandon LaFell is intercepted by Jason Trusnik at MIA-34,3.050,-1.200
1,5:46,1,10,MIA 34,0,7,"Penalty on Mike Pouncey: False Start, 5 yards (no play)",1.200,0.870
1,5:46,1,15,MIA 29,0,7,Ryan Tannehill pass complete deep right to Charles Clay for 22 yards (tackle by Devin McCourty),0.870,2.320
1,5:11,1,10,NWE 49,0,7,Daniel Thomas right end for 5 yards (tackle by Jamie Collins),2.320,2.460
1,4:30,2,5,NWE 44,0,7,Lamar Miller left end for 7 yards (tackle by Chandler Jones),2.460,3.120
1,3:52,1,10,NWE 37,0,7,"Ryan Tannehill pass incomplete deep right intended for Mike Wallace. Penalty on Jamie Collins: Defensive Holding, 5 yards (no play)",3.120,3.450
1,3:43,1,10,NWE 32,0,7,Ryan Tannehill pass complete short right to Charles Clay for 7 yards (tackle by Patrick Chung),3.450,3.850
1,3:06,2,3,NWE 25,0,7,Ryan Tannehill left tackle for 15 yards (tackle by Dont'a Hightower),3.850,4.910
1,2:29,1,10,NWE 10,0,7,Lamar Miller left tackle for no gain (tackle by Sealver Siliga and Dont'a Hightower),4.910,4.190
1,1:47,2,10,NWE 10,0,7,Ryan Tannehill pass complete short left to Damian Williams for 4 yards (tackle by Patrick Chung and Sealver Siliga),4.190,4.040
1,1:07,3,6,NWE 6,0,7,Ryan Tannehill pass incomplete short left intended for Charles Clay (defended by Devin McCourty),4.040,2.990
1,1:02,4,6,NWE 6,3,7,Caleb Sturgis 24 yard field goal good,2.990,3.000
1,1:02,,,MIA 35,3,7,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
1,0:59,1,10,NWE 20,3,7,LeGarrette Blount up the middle for 2 yards (tackle by Kelvin Sheppard),0.280,0.000
1,0:36,2,8,NWE 22,3,7,Tom Brady pass incomplete short right intended for Rob Gronkowski (defended by Jared Odrick),0.000,-0.690
1,0:34,3,8,NWE 22,3,7,Tom Brady pass complete short right to Shane Vereen for 12 yards (tackle by Kelvin Sheppard),-0.690,1.200
1,0:16,1,10,NWE 34,3,7,Shane Vereen right tackle for 1 yard (tackle by Philip Wheeler),1.200,0.790
Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NWE 35,3,7,Tom Brady pass complete short left to Brandon LaFell for 8 yards (tackle by Earl Mitchell and Walt Aikens),0.790,1.160
2,14:27,3,1,NWE 43,3,7,LeGarrette Blount left guard for 2 yards (tackle by Jimmy Wilson),1.160,1.930
2,13:46,1,10,NWE 45,3,7,--,1.930,1.600
2,13:39,1,15,NWE 40,3,7,Tom Brady pass complete short left to LeGarrette Blount for 2 yards (tackle by Jason Trusnik),1.600,0.980
2,13:04,2,13,NWE 42,3,7,Tom Brady pass incomplete short right intended for Julian Edelman,0.980,0.300
2,13:00,3,13,NWE 42,3,7,Tom Brady pass complete short middle to Danny Amendola for 11 yards (tackle by Walt Aikens),0.300,0.130
2,12:15,4,2,MIA 47,3,7,"Ryan Allen punts 37 yards, fair catch by Jarvis Landry",0.130,0.380
2,12:09,1,10,MIA 10,3,7,"Ryan Tannehill pass incomplete short left intended for Brian Hartline. Penalty on Brandon Browner: Defensive Pass Interference, 6 yards (no play)",-0.380,-0.140
2,12:05,1,10,MIA 16,3,7,Lamar Miller right guard for 2 yards (tackle by Dont'a Hightower),-0.140,-0.350
2,11:30,2,8,MIA 18,3,7,Lamar Miller left guard for 13 yards (tackle by Devin McCourty and Jamie Collins),-0.350,1.000
2,10:55,1,10,MIA 31,3,7,Ryan Tannehill pass complete deep left to Charles Clay for 18 yards (tackle by Devin McCourty),1.000,2.190
2,10:28,1,10,MIA 49,3,7,Lamar Miller up the middle for 1 yard (tackle by Vince Wilfork),2.190,1.780
2,9:48,2,9,,3,7,"Penalty on Dallas Thomas: False Start, 5 yards (no play)",1.780,1.110
2,9:36,2,14,MIA 45,3,7,Daniel Thomas right guard for no gain (tackle by Chandler Jones),1.110,0.430
2,8:56,3,14,MIA 45,3,7,Ryan Tannehill pass incomplete deep middle intended for Brandon Gibson is intercepted by Duron Harmon at NWE-32 and returned for 60 yards,0.430,-5.370
2,8:41,1,8,MIA 8,3,7,LeGarrette Blount up the middle for 5 yards (tackle by Jason Trusnik and Terrence Fede),5.370,5.530
2,8:05,2,3,MIA 3,3,7,Tom Brady pass incomplete short left intended for Brandon LaFell,5.530,4.720
2,8:03,3,3,MIA 3,3,13,"Shane Vereen right tackle for 3 yards, touchdown",4.720,7.000
2,8:03,,,MIA 2,3,14,Stephen Gostkowski kicks extra point good,0.000,0.000
2,8:03,,,NWE 35,3,14,"Stephen Gostkowski kicks off 64 yards, returned by Jarvis Landry for 26 yards (tackle by Jonas Gray)",0.000,-0.740
2,7:52,1,10,MIA 27,3,14,Mike Wallace left end for no gain (tackle by Jamie Collins),0.740,0.200
2,7:18,2,10,MIA 27,3,14,Ryan Tannehill pass complete short left to Mike Wallace for 7 yards (tackle by Kyle Arrington),0.200,0.430
2,6:34,3,3,MIA 34,3,14,Ryan Tannehill pass complete short right to Jarvis Landry for 5 yards (tackle by Chandler Jones),0.430,1.530
2,6:03,1,10,MIA 39,3,14,"Ryan Tannehill pass incomplete deep left intended for Jarvis Landry. Penalty on Brandon Browner: Defensive Pass Interference, 25 yards (no play)",1.530,3.180
2,5:56,1,10,NWE 36,3,14,Lamar Miller left tackle for 6 yards (tackle by Patrick Chung),3.180,3.450
2,5:20,2,4,NWE 30,3,14,Lamar Miller left end for -5 yards (tackle by Dont'a Hightower),3.450,2.080
2,4:36,3,9,NWE 35,3,14,Ryan Tannehill pass incomplete deep left intended for Damian Williams,2.080,0.970
2,4:31,4,9,NWE 35,6,14,Caleb Sturgis 53 yard field goal good,0.970,3.000
2,4:31,,,MIA 35,6,14,"Caleb Sturgis kicks off 72 yards, returned by Danny Amendola for 24 yards (tackle by Jason Trusnik)",0.000,0.060
2,4:22,1,10,NWE 17,6,14,Tom Brady pass incomplete short middle intended for Shane Vereen (defended by Earl Mitchell),-0.060,-0.580
2,4:18,2,10,NWE 17,6,14,LeGarrette Blount left end for 2 yards (tackle by Reshad Jones and Philip Wheeler),-0.580,-1.000
2,3:37,3,8,NWE 19,6,14,Tom Brady pass complete short middle to Brandon LaFell for 12 yards (tackle by Jimmy Wilson),-1.000,1.000
2,3:07,1,10,NWE 31,6,14,LeGarrette Blount up the middle for -1 yards (tackle by Kelvin Sheppard),1.000,0.320
2,2:30,2,11,NWE 30,6,14,Tom Brady pass incomplete short middle intended for Julian Edelman. Penalty on Ryan Wendell: Offensive Holding (Declined),0.320,-0.360
2,2:25,3,11,NWE 30,6,14,Tom Brady pass incomplete deep left intended for Rob Gronkowski (defended by Cortland Finnegan),-0.360,-1.370
2,2:17,4,11,NWE 30,6,14,"Ryan Allen punts 58 yards, out of bounds",-1.370,0.350
2,2:07,1,10,MIA 12,6,14,Lamar Miller left tackle for 8 yards (tackle by Patrick Chung),-0.350,0.290
2,2:00,2,2,MIA 20,6,14,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry (defended by Vince Wilfork),0.290,-0.480
2,1:56,3,2,MIA 20,6,14,Ryan Tannehill pass complete short right to Daniel Thomas for 10 yards (tackle by Rob Ninkovich),-0.480,0.940
2,1:51,1,10,MIA 30,6,14,Ryan Tannehill pass complete short left to Rishard Matthews for 11 yards (tackle by Malcolm Butler),0.940,1.660
2,1:24,1,10,MIA 41,6,14,Ryan Tannehill pass complete short middle to Jarvis Landry for 13 yards (tackle by Darrelle Revis),1.660,2.520
2,1:00,1,10,NWE 46,6,14,Ryan Tannehill pass incomplete deep left intended for Rishard Matthews,2.520,1.980
2,0:56,2,10,NWE 46,6,14,Ryan Tannehill pass incomplete short middle intended for Daniel Thomas (defended by Rob Ninkovich),1.980,1.290
2,0:51,3,10,NWE 46,6,14,Ryan Tannehill pass incomplete short left intended for Mike Wallace,1.290,0.200
2,0:47,4,10,NWE 46,6,14,"Brandon Fields punts 31 yards, fair catch by Julian Edelman",0.200,0.220
2,0:40,1,10,NWE 15,6,14,Shane Vereen right guard for no gain (tackle by Philip Wheeler),-0.220,-0.220
2,0:36,1,10,NWE 15,6,14,Timeout #1 by Miami Dolphins,-0.220,-0.710
2,0:36,2,10,NWE 15,6,14,Shane Vereen right tackle for 2 yards (tackle by Kelvin Sheppard and Jared Odrick),-0.710,-0.710
