Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Cairo Santos kicks off 69 yards, returned by Desmond King for 25 yards (tackle by De'Anthony Thomas). Penalty on Rayshawn Jenkins: Illegal Block Above the Waist, 6 yards",0.000,0.380
1,14:55,1,10,LAC 6,0,0,Melvin Gordon middle for 10 yards (tackle by Daniel Sorensen),-0.380,-0.140
1,14:16,1,10,LAC 16,0,0,Philip Rivers pass incomplete deep left intended for Tyrell Williams,-0.140,-0.660
1,14:08,2,10,LAC 16,0,0,Philip Rivers pass incomplete deep left intended for Travis Benjamin is intercepted by Terrance Mitchell at LAC-43,-0.660,-2.720
1,13:59,1,10,LAC 43,0,0,Kareem Hunt middle for 8 yards (tackle by Nigel Harris and Jahleel Addae),2.720,3.260
1,13:23,2,2,LAC 35,0,0,Alex Smith pass complete short right to Travis Kelce for 1 yard (tackle by Kyle Emanuel),3.260,2.680
1,12:41,3,1,LAC 34,0,0,Alex Smith middle for 4 yards (tackle by Jatavis Brown),2.680,3.580
1,12:09,1,10,LAC 30,6,0,"Alex Smith pass complete deep right to Tyreek Hill for 30 yards, touchdown",3.580,7.000
1,12:03,,,LAC 15,7,0,Cairo Santos kicks extra point good,0.000,0.000
1,12:03,,,KAN 35,7,0,"Cairo Santos kicks off 67 yards, returned by Desmond King for 25 yards (tackle by Eric Murray)",0.000,-0.480
1,11:56,1,10,LAC 23,7,0,Melvin Gordon middle for 14 yards (tackle by Eric Murray and Phillip Gaines),0.480,1.400
1,11:20,1,10,LAC 37,7,0,Melvin Gordon left tackle for 14 yards (tackle by Terrance Mitchell),1.400,2.320
1,10:48,1,10,KAN 49,7,0,Travis Benjamin for 9 yards,2.320,3.000
1,10:10,2,1,KAN 40,7,0,Branden Oliver left tackle for -1 yards (tackle by Derrick Johnson and Chris Jones),3.000,2.150
1,9:25,3,2,KAN 41,7,0,Branden Oliver middle for 3 yards (tackle by Phillip Gaines and Ron Parker),2.150,3.050
1,8:40,1,10,KAN 38,7,0,Philip Rivers pass incomplete short left intended for Melvin Gordon,3.050,2.510
1,8:36,2,10,KAN 38,7,0,Melvin Gordon middle for 2 yards (tackle by Justin Houston and Frank Zombo),2.510,2.080
1,7:55,3,8,KAN 36,7,0,Philip Rivers pass incomplete short right intended for Antonio Gates is intercepted by Marcus Peters at KAN-28 and returned for 38 yards,2.080,-3.310
1,7:44,1,10,LAC 34,7,0,Alex Smith pass complete short right to De'Anthony Thomas for 14 yards (tackle by Korey Toomer),3.310,4.240
1,6:57,1,10,LAC 20,7,0,Kareem Hunt middle for 3 yards (tackle by Joey Bosa and Jatavis Brown),4.240,4.120
1,6:18,2,7,LAC 17,7,0,Kareem Hunt right end for 11 yards (tackle by Korey Toomer and Joey Bosa),4.120,5.830
1,5:37,1,6,LAC 6,13,0,"Alex Smith pass complete short middle to Albert Wilson for 6 yards, touchdown",5.830,7.000
1,5:33,,,LAC 15,14,0,Cairo Santos kicks extra point good,0.000,0.000
1,5:33,,,KAN 35,14,0,"Cairo Santos kicks off 67 yards, returned by Desmond King for 23 yards (tackle by Kenneth Acker). Penalty on Trevor Williams: Offensive Holding, 10 yards",0.000,0.370
1,5:27,1,10,LAC 11,14,0,Melvin Gordon middle for -2 yards (tackle by Bennie Logan),-0.370,-0.930
1,4:49,2,12,LAC 9,14,0,Melvin Gordon left end for 9 yards (tackle by Phillip Gaines),-0.930,-0.600
1,4:09,3,3,LAC 18,14,0,Philip Rivers pass complete short middle to Keenan Allen for 6 yards (tackle by Derrick Johnson and Phillip Gaines),-0.600,0.540
1,3:27,1,10,LAC 24,14,0,Melvin Gordon right tackle for -3 yards (tackle by Ramik Wilson and Daniel Sorensen),0.540,-0.410
1,2:51,2,13,LAC 21,14,0,Melvin Gordon right tackle for no gain (tackle by Bennie Logan),-0.410,-1.090
1,2:10,3,13,LAC 21,14,0,Philip Rivers pass complete short right to Tyrell Williams for 14 yards,-1.090,1.270
1,1:31,1,10,LAC 35,14,0,Branden Oliver left tackle for -2 yards (tackle by Chris Jones and Allen Bailey),1.270,0.450
1,0:49,2,12,LAC 33,14,0,"Philip Rivers pass complete deep right to Travis Benjamin for 44 yards (tackle by Terrance Mitchell). Penalty on Dee Ford: Roughing the Passer, 12 yards",0.450,4.840
1,0:12,1,10,KAN 11,14,6,"Melvin Gordon right end for 11 yards, touchdown",4.840,7.000
1,0:05,,,KAN 15,14,7,YoungHoe Koo kicks extra point good,0.000,0.000
1,0:05,,,LAC 35,14,7,"YoungHoe Koo kicks off 67 yards, returned by Akeem Hunt for 42 yards (tackle by Rayshawn Jenkins)",0.000,-1.600
Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 40,14,7,Charcandrick West right end for 1 yard (tackle by Darius Philon),1.600,1.190
2,14:18,2,9,KAN 41,14,7,"Alex Smith pass complete short right to Tyreek Hill for 12 yards. Penalty on Bryan Witzmann: Offensive Holding, 10 yards (no play)",1.190,-0.160
2,13:48,2,19,KAN 31,14,7,Kareem Hunt middle for 10 yards (tackle by Jatavis Brown and Jahleel Addae),-0.160,0.500
2,13:02,3,9,KAN 41,14,7,Alex Smith sacked by Chris McCain for -9 yards,0.500,-1.240
2,12:23,4,18,KAN 32,14,7,"Dustin Colquitt punts 63 yards, returned by Travis Benjamin for 9 yards",-1.240,0.280
2,12:09,1,10,LAC 14,14,7,Philip Rivers pass complete deep left to Travis Benjamin for 18 yards,-0.280,1.070
2,11:39,1,10,LAC 32,14,7,Melvin Gordon right end for 2 yards (tackle by Marcus Peters),1.070,0.800
2,10:53,2,8,LAC 34,14,7,Philip Rivers pass incomplete short right intended for Melvin Gordon,0.800,0.100
2,10:44,3,8,LAC 34,14,7,Philip Rivers pass incomplete deep left intended for Tyrell Williams is intercepted by Terrance Mitchell at KAN-47. Penalty on Russell Okung: Illegal Formation (Declined),0.100,-2.060
2,10:39,1,10,KAN 47,14,7,Tyreek Hill left end for 3 yards (tackle by Melvin Ingram and Jahleel Addae),2.060,1.920
2,10:00,2,7,,14,7,Kareem Hunt right tackle for 20 yards (tackle by Joey Bosa),1.920,3.580
2,9:18,1,10,LAC 30,14,7,Alex Smith right end for 5 yards (tackle by Melvin Ingram),3.580,3.710
2,8:27,2,5,LAC 25,14,7,Alex Smith sacked by Melvin Ingram for -2 yards,3.710,0.000
2,7:39,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-2.740
2,7:39,3,7,LAC 27,14,7,Alex Smith sacked by Joey Bosa for -6 yards,2.740,1.150
2,6:56,4,13,LAC 33,14,7,"Cairo Santos 51 yard field goal no good. Penalty on Rayshawn Jenkins: Roughing the Kicker, 15 yards (no play)",1.150,4.370
2,6:50,1,10,LAC 18,14,7,Kareem Hunt right tackle for -1 yards (tackle by Desmond King and Damion Square),4.370,3.670
2,6:03,2,11,LAC 19,14,7,Alex Smith pass complete short left to Tyreek Hill for 7 yards (tackle by Trevor Williams and Jahleel Addae),3.670,4.030
2,5:18,3,4,LAC 12,14,7,"Penalty on Charcandrick West: False Start, 5 yards (no play)",4.030,3.170
2,4:55,3,9,LAC 17,14,7,Alex Smith pass complete short left to Albert Wilson for 1 yard (tackle by Adrian Phillips),3.170,2.380
2,4:35,4,8,LAC 16,17,7,Cairo Santos 34 yard field goal good,2.380,3.000
2,4:30,,,KAN 35,17,7,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
2,4:30,1,10,LAC 25,17,7,Philip Rivers pass incomplete,0.610,0.060
2,4:23,2,10,LAC 25,17,7,Melvin Gordon left end for 6 yards (tackle by Terrance Mitchell and Daniel Sorensen),0.060,0.170
2,3:38,3,4,LAC 31,17,7,Philip Rivers pass complete short right to Antonio Gates for 14 yards (tackle by Kevin Pierre-Louis),0.170,1.930
2,3:00,1,10,LAC 45,17,7,Melvin Gordon right guard for 2 yards (tackle by Allen Bailey),1.930,1.650
2,2:23,2,8,LAC 47,17,7,Philip Rivers pass complete short left to Keenan Allen for 10 yards (tackle by Terrance Mitchell). Penalty on Phillip Gaines: Illegal Use of Hands (Declined),1.650,2.720
