Unnamed: 0,KAN,LAC
First Downs,16,24
Rush-Yds-TDs,25-189-1,26-104-1
Cmp-Att-Yd-TD-INT,16-21-155-2-0,20-40-237-0-3
Sacked-Yards,5-33,2-11
Net Pass Yards,122,226
Total Yards,311,330
Fumbles-Lost,2-0,0-0
Turnovers,0,3
Penalties-Yards,13-122,8-61
Third Down Conv.,4-12,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:26,29:34
