Quarter,Time,Tm,Detail,KAN,LAC
1.0,12:03,Chiefs,Tyreek Hill 30 yard pass from Alex Smith (Cairo Santos kick),7,0
,5:33,Chiefs,Albert Wilson 6 yard pass from Alex Smith (Cairo Santos kick),14,0
,0:05,Chargers,Melvin Gordon 11 yard rush (Younghoe Koo kick),14,7
2.0,4:30,Chiefs,Cairo Santos 34 yard field goal,17,7
,0:00,Chargers,Younghoe Koo 29 yard field goal,17,10
4.0,1:49,Chiefs,Kareem Hunt 69 yard rush (Cairo Santos kick),24,10
