Player,Pos
Ben Roethlisberger,QB
Jaylen Samuels,RB
Antonio Brown,WR
JuJu Smith-Schuster,WR
Eli Rogers,WR
Vance McDonald,TE
Alejandro Villanueva,LT
Ramon Foster,LG
Maurkice Pouncey,C
David DeCastro,RG
Matt Feiler,RT
Stephon Tuitt,DE
Cameron Heyward,DT
Javon Hargrave,NT
T.J. Watt,LOLB
Jonathan Bostic,LILB
Vince Williams,RILB
Bud Dupree,ROLB
Joe Haden,LCB
Artie Burns,RCB
Terrell Edmunds,SS
Sean Davis,FS
