Unnamed: 0,NWE,PIT
First Downs,18,24
Rush-Yds-TDs,19-96-0,25-158-0
Cmp-Att-Yd-TD-INT,25-36-279-1-1,22-34-235-2-2
Sacked-Yards,1-7,2-17
Net Pass Yards,272,218
Total Yards,368,376
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,14-106,4-40
Third Down Conv.,3-10,4-9
Fourth Down Conv.,0-1,0-0
Time of Possession,29:11,30:49
