Quarter,Time,Down,ToGo,Location,KAN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Mitch Berger kicks off 68 yards, returned by Dante Hall for 63 yards (tackle by Fred Thomas)",0.000,3.250
1,14:49,1,10,NOR 35,0,0,Derrick Blaylock left tackle for 12 yards (tackle by Tebucky Jones and Jay Bellamy),3.250,4.040
1,14:19,1,10,NOR 23,0,0,Derrick Blaylock left guard for -1 yards (tackle by Orlando Ruff),4.040,3.360
1,13:45,2,11,NOR 24,0,0,Trent Green pass complete to Jason Dunn for 11 yards (tackle by Derrick Rodgers),3.360,4.710
1,13:13,1,10,NOR 13,0,0,"Derrick Blaylock left end for 2 yards (tackle by Tebucky Jones). Penalty on Tony Richardson: Offensive Holding, 10 yards",4.710,4.170
1,12:54,1,18,NOR 21,6,0,"Trent Green pass complete to Eddie Kennison for 21 yards, touchdown",4.170,7.000
1,,,,NOR 2,7,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Lawrence Tynes kicks off 58 yards, returned by Michael Lewis for 24 yards (tackle by Shaunard Harts). Penalty on Steve Gleason: Offensive Holding, 10 yards",0.000,0.540
1,12:44,1,10,NOR 24,7,0,Aaron Brooks pass incomplete intended for Boo Williams,0.540,0.000
1,12:40,2,10,NOR 24,7,0,Aaron Brooks pass incomplete intended for Jerome Pathon,0.000,-0.690
1,12:37,3,10,NOR 24,7,0,Aaron Brooks pass complete to Donte Stallworth for 6 yards (tackle by Scott Fujita),-0.690,-1.370
1,12:32,4,4,NOR 30,7,0,"Mitch Berger punts 38 yards, returned by Dante Hall for 4 yards (tackle by Colby Bockwoldt)",-1.370,-1.330
1,12:19,1,10,KAN 36,7,0,Derrick Blaylock right guard for 23 yards (tackle by Jay Bellamy and Tebucky Jones),1.330,2.850
1,11:46,1,10,NOR 41,7,0,Derrick Blaylock left end for 5 yards (tackle by Fakhir Brown and Tebucky Jones),2.850,2.980
1,11:09,2,5,NOR 36,7,0,"Trent Green pass complete to Johnnie Morton for 21 yards (tackle by Fakhir Brown). Johnnie Morton fumbles (forced by Fakhir Brown), recovered by Jay Bellamy at NOR-15 and returned for 8 yards (tackle by Derrick Blaylock)",2.980,-0.480
1,10:57,1,10,NOR 23,7,0,Aaron Brooks sacked by Scott Fujita for -8 yards,0.480,-1.280
1,10:22,2,18,NOR 15,7,0,"Aaron Brooks pass complete to Boo Williams for 15 yards (tackle by Jerome Woods). Boo Williams fumbles (forced by Jerome Woods), recovered by Boo Williams at NOR-30",-1.280,0.170
1,9:42,3,3,NOR 30,7,0,Aaron Brooks sacked by Jerome Woods for -4 yards,0.170,-1.630
1,9:18,4,7,NOR 26,7,0,"Mitch Berger punts 39 yards, fair catch by Dante Hall",-1.630,-1.270
1,9:10,1,10,KAN 35,7,0,Derrick Blaylock right end for 24 yards (tackle by Jay Bellamy),1.270,2.850
1,8:31,1,10,NOR 41,7,0,Derrick Blaylock right guard for 7 yards (tackle by Tebucky Jones),2.850,3.250
1,7:57,2,3,NOR 34,7,0,Derrick Blaylock right guard for 1 yard (tackle by Darren Howard),3.250,2.680
1,7:17,3,2,NOR 33,7,0,Trent Green pass complete to Eddie Kennison for 13 yards (tackle by Jay Bellamy),2.680,4.240
1,6:40,1,10,NOR 20,7,0,Trent Green pass complete to Tony Gonzalez for 9 yards (tackle by Derrick Rodgers),4.240,5.260
1,5:58,2,1,NOR 11,7,0,Derrick Blaylock right end for 6 yards (tackle by Jay Bellamy),5.260,6.060
1,5:12,1,5,NOR 5,7,0,Derrick Blaylock right tackle for -1 yards (tackle by Charles Grant and Brian Young),6.060,4.950
1,4:37,2,6,NOR 6,7,0,Trent Green pass incomplete intended for Tony Gonzalez,4.950,4.040
1,4:31,3,6,NOR 6,7,0,"Trent Green sacked by Will Smith for -7 yards. Penalty on Will Smith: Face Mask (15 Yards), 7 yards",4.040,5.830
1,3:52,1,6,NOR 6,7,0,Trent Green pass complete to Tony Gonzalez for no gain,5.830,4.950
1,3:16,2,6,NOR 6,7,0,Derrick Blaylock right end for 1 yard (tackle by Willie Whitehead and Orlando Ruff),4.950,4.260
1,2:35,,,,7,0,Timeout #1 by New Orleans Saints,0.000,4.260
1,2:35,3,5,NOR 5,7,0,Trent Green pass incomplete intended for Derrick Blaylock,4.260,3.010
1,2:30,4,5,NOR 5,10,0,Lawrence Tynes 24 yard field goal good,3.010,3.000
1,,,,KAN 30,10,0,"Lawrence Tynes kicks off 63 yards, returned by Michael Lewis for 25 yards (tackle by William Bartee)",0.000,1.070
