Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
1,5:32,4,6,BUF 27,0,0,"Corey Bojorquez punts 48 yards, fair catch by Chester Rogers at IND-25",-1.570,-0.610
1,5:24,1,10,IND 25,0,0,Andrew Luck pass complete short left to Chester Rogers for 13 yards (tackle by Taron Johnson),0.610,1.470
1,4:57,1,10,IND 38,0,0,Marlon Mack up the middle for 4 yards (tackle by Micah Hyde),1.470,1.460
1,4:16,,,,,,Timeout #1 by Indianapolis Colts,,
1,4:16,2,6,IND 42,0,0,Andrew Luck pass incomplete short middle intended for Eric Ebron,1.460,0.760
1,4:11,3,6,IND 42,0,0,Andrew Luck pass complete short left to Eric Ebron for 5 yards (tackle by Micah Hyde),0.760,-0.260
1,3:22,,,,,,Timeout #2 by Indianapolis Colts,,
1,3:22,4,1,IND 47,0,0,Marlon Mack left tackle for 10 yards (tackle by Micah Hyde),-0.260,2.720
1,2:42,1,10,BUF 43,0,0,Andrew Luck pass incomplete deep middle intended for Eric Ebron,2.720,2.180
1,2:36,2,10,BUF 43,0,0,Marlon Mack right guard for 9 yards (tackle by Jordan Phillips),2.180,2.680
1,1:56,3,1,BUF 34,0,0,Jordan Wilkins up the middle for 2 yards (tackle by Star Lotulelei),2.680,3.450
1,1:20,1,10,BUF 32,0,0,"Jordan Wilkins up the middle for no gain (tackle by Taron Johnson). Penalty on Chester Rogers: Illegal Block Above the Waist, 10 yards (no play)",3.450,2.790
1,0:55,1,20,BUF 42,0,0,Nyheim Hines left tackle for 4 yards (tackle by Harrison Phillips),2.790,2.090
1,0:16,2,16,BUF 38,0,0,Andrew Luck pass complete short middle to T.Y. Hilton for 11 yards (tackle by Matt Milano),2.090,2.870
Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,BUF 27,0,0,Andrew Luck pass complete short right to Jordan Wilkins for 8 yards (tackle by Lorenzo Alexander),2.870,4.310
2,14:19,1,10,BUF 19,0,0,Marlon Mack right tackle for 2 yards (tackle by TreDavious White),4.310,4.030
2,13:38,2,8,BUF 17,0,6,"Andrew Luck pass complete deep middle to Erik Swoope for 17 yards, touchdown",4.030,7.000
2,13:31,,,BUF 15,0,6,Adam Vinatieri kicks extra point no good wide right,0.000,-1.000
2,13:31,,,IND 35,0,6,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,13:31,1,10,BUF 25,0,6,Derek Anderson pass complete short middle to Chris Ivory for 8 yards (tackle by Darius Leonard),0.610,1.140
2,12:48,2,2,BUF 33,0,6,Chris Ivory left guard for 7 yards (tackle by Mike Mitchell),1.140,1.600
2,12:12,1,10,BUF 40,0,6,Derek Anderson pass complete deep middle to Kelvin Benjamin for 17 yards (tackle by Kenny Moore),1.600,2.720
2,11:34,1,10,IND 43,0,6,Chris Ivory up the middle for 21 yards (tackle by Matthew Adams),2.720,4.110
2,11:01,1,10,IND 22,0,6,"Derek Anderson pass complete short middle to Charles Clay for -4 yards (tackle by Mike Mitchell). Charles Clay fumbles (forced by Mike Mitchell), recovered by Darius Leonard at IND-26 (tackle by Dion Dawkins)",4.110,-0.670
2,10:54,1,10,IND 26,0,6,"Andrew Luck pass incomplete short left intended for T.Y. Hilton. Penalty on TreDavious White: Defensive Pass Interference, 14 yards (no play)",0.670,1.600
2,10:49,1,10,IND 40,0,6,Andrew Luck pass complete deep middle to Chester Rogers for 29 yards (tackle by Tremaine Edmunds),1.600,3.510
2,10:21,1,10,BUF 31,0,6,Andrew Luck pass complete short right to Chester Rogers for 2 yards (tackle by Taron Johnson),3.510,3.240
2,9:35,2,8,BUF 29,0,12,"Andrew Luck pass complete short right to Marlon Mack for 29 yards, touchdown",3.240,7.000
2,9:25,,,BUF 2,0,12,"Adam Vinatieri kicks extra point good. Penalty on Kyle Williams: Illegal Formation, 1 yard. Penalty on Jerry Hughes: Unsportsmanlike Conduct, 15 yards (no play)",0.000,0.000
2,9:25,,,BUF 1,0,14,"Two Point Attempt: Marlon Mack rushes, conversion succeeds.",0.000,1.000
2,9:25,,,IND 50,0,14,"Rigoberto Sanchez kicks off 41 yards, returned by Marcus Murphy for no gain (tackle by Corey Moore and Najee Goode)",0.000,0.740
2,9:19,1,10,BUF 27,0,14,"Chris Ivory right end for 2 yards (tackle by Al-Quadin Muhammad). Penalty on Kelvin Benjamin: Unnecessary Roughness, 14 yards",0.740,-1.570
2,8:53,2,22,BUF 15,0,14,Derek Anderson pass complete short left to Chris Ivory for 8 yards (tackle by Darius Leonard and Anthony Walker),-1.570,-1.020
2,8:10,3,14,BUF 23,0,14,Derek Anderson pass complete short right to Zay Jones for 8 yards (tackle by Kenny Moore),-1.020,-1.310
2,7:26,4,6,BUF 31,0,14,"Corey Bojorquez punts 51 yards, fair catch by Chester Rogers at IND-18",-1.310,-0.040
2,7:16,1,10,IND 18,0,14,Marlon Mack right end for 23 yards (tackle by Micah Hyde),0.040,1.660
2,6:32,1,10,IND 41,0,14,"Jordan Wilkins left tackle for no gain (tackle by Matt Milano). Penalty on Jordan Phillips: Defensive Offside, 5 yards (no play)",1.660,2.390
2,6:03,1,5,IND 46,0,14,Nyheim Hines left end for 10 yards (tackle by Phillip Gaines),2.390,2.650
2,5:31,1,10,BUF 44,0,14,Nyheim Hines left end for 18 yards (tackle by Jordan Poyer),2.650,3.840
2,4:47,1,10,BUF 26,0,14,Marlon Mack up the middle for -2 yards (tackle by Jerry Hughes and Jordan Poyer),3.840,3.030
2,4:09,2,12,BUF 28,0,14,Jordan Wilkins left end for 5 yards (tackle by Matt Milano),3.030,3.010
2,3:33,3,7,BUF 23,0,14,"Penalty on Kyle Williams: Neutral Zone Infraction, 5 yards (no play)",3.010,3.750
2,3:11,3,2,BUF 18,0,14,Andrew Luck pass complete short right to Mo Alie-Cox for 7 yards (tackle by Tremaine Edmunds),3.750,4.840
2,2:30,1,10,BUF 11,0,14,Marlon Mack up the middle for 8 yards (tackle by Jordan Poyer),4.840,5.660
2,2:00,2,2,BUF 3,0,14,Marlon Mack right guard for -2 yards (tackle by Phillip Gaines),5.660,4.440
2,1:48,,,,,,Timeout #1 by Buffalo Bills,,
2,1:48,3,4,BUF 5,0,20,"Andrew Luck pass complete short right to T.Y. Hilton for 5 yards, touchdown",4.440,7.000
2,1:41,,,BUF 15,0,21,Adam Vinatieri kicks extra point good,0.000,0.000
2,1:41,,,IND 35,0,21,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,1:41,1,10,BUF 25,0,21,Derek Anderson pass complete short left to Kelvin Benjamin for 14 yards (tackle by Pierre Desir),0.610,1.530
2,1:07,1,10,BUF 39,0,21,Derek Anderson pass complete short left to Marcus Murphy for 7 yards (tackle by Darius Leonard),1.530,1.930
2,0:40,2,3,BUF 46,0,21,Derek Anderson pass complete short middle to Marcus Murphy for 6 yards (tackle by Darius Leonard),1.930,2.390
2,0:34,,,,,,Timeout #2 by Buffalo Bills,,
2,0:34,1,10,IND 48,0,21,"Derek Anderson pass incomplete short right. Penalty on Kemoko Turay: Defensive Offside, 5 yards (no play)",2.390,3.120
2,0:29,1,5,IND 43,0,21,Derek Anderson pass deep middle intended for Kelvin Benjamin is intercepted by Mike Mitchell at IND-21 and returned for 47 yards,3.120,-3.450
2,0:13,1,10,BUF 32,0,21,Andrew Luck pass incomplete short left intended for Eric Ebron,3.450,2.900
2,0:10,2,10,BUF 32,0,21,Nyheim Hines up the middle for 14 yards (tackle by Taron Johnson),2.900,4.370
2,0:03,,,,,,Timeout #3 by Indianapolis Colts,,
2,0:03,,,,,,Timeout #3 by Buffalo Bills,,
2,0:03,1,10,BUF 18,0,24,Adam Vinatieri 36 yard field goal good,4.370,3.000
Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,0,24,"Rigoberto Sanchez kicks off 59 yards, returned by Marcus Murphy for no gain (tackle by Zach Pascal and Quincy Wilson)",0.000,0.810
3,14:52,1,10,BUF 28,0,24,Chris Ivory right guard for no gain (tackle by Kenny Moore and Anthony Walker),0.810,0.260
3,14:15,2,10,BUF 28,0,24,Derek Anderson pass complete short middle to Zay Jones for 15 yards (tackle by Kenny Moore),0.260,1.800
3,13:34,1,10,BUF 43,0,24,Derek Anderson pass complete short middle to Charles Clay for 11 yards (tackle by Darius Leonard),1.800,2.520
3,13:00,1,10,IND 46,0,24,Chris Ivory up the middle for 8 yards (tackle by Darius Leonard),2.520,3.060
3,12:27,2,2,IND 38,0,24,Chris Ivory left end for no gain (tackle by Matthew Adams and Darius Leonard),3.060,2.350
3,11:39,3,2,IND 38,0,24,Chris Ivory up the middle for 4 yards (tackle by Darius Leonard),2.350,3.310
3,10:57,1,10,IND 34,0,24,Marcus Murphy up the middle for 4 yards (tackle by Hassan Ridgeway),3.310,3.310
3,10:21,2,6,IND 30,0,24,Marcus Murphy right guard for 18 yards (tackle by Mike Mitchell and Malik Hooker),3.310,4.780
3,9:39,1,10,IND 12,0,24,Marcus Murphy right end for 1 yard (tackle by Pierre Desir),4.780,4.270
3,8:58,2,9,IND 11,0,24,Derek Anderson pass complete short right to Marcus Murphy for 2 yards (tackle by Darius Leonard),4.270,3.700
3,8:15,3,7,IND 9,0,24,Derek Anderson sacked by Jabaal Sheard for -7 yards,3.700,2.380
3,7:46,4,14,IND 16,3,24,Stephen Hauschka 34 yard field goal good,2.380,3.000
3,7:42,,,BUF 35,3,24,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
3,7:42,1,10,IND 25,3,24,Marlon Mack left end for 15 yards (tackle by Matt Milano),0.610,1.600
3,7:06,1,10,IND 40,3,24,Marlon Mack up the middle for 6 yards (tackle by Taron Johnson),1.600,1.860
3,6:26,2,4,IND 46,3,24,Jordan Wilkins right end for no gain (tackle by Matt Milano),1.860,1.160
3,5:49,3,4,IND 46,3,24,Andrew Luck pass complete short left to T.Y. Hilton for 8 yards (tackle by TreDavious White),1.160,2.520
3,5:09,1,10,BUF 46,3,24,"Andrew Luck pass complete short right to T.Y. Hilton for 11 yards (tackle by Tremaine Edmunds). Penalty on Eric Ebron: Offensive Pass Interference, 10 yards (no play)",2.520,1.860
3,4:39,1,20,IND 44,3,24,Andrew Luck pass complete short middle to Eric Ebron for 14 yards (tackle by Tremaine Edmunds),1.860,2.520
3,4:02,2,6,BUF 42,3,24,"Andrew Luck pass complete short right to Nyheim Hines for 3 yards (tackle by Shaq Lawson and Eddie Yarbrough). Penalty on Quenton Nelson: Offensive Holding, 10 yards (no play)",2.520,1.170
3,3:34,2,16,IND 48,3,24,Andrew Luck pass incomplete short middle intended for Eric Ebron (defended by Tremaine Edmunds),1.170,0.500
3,3:29,3,16,IND 48,3,24,Andrew Luck pass complete short left to Nyheim Hines for -5 yards (tackle by Trent Murphy),0.500,-0.520
3,2:47,4,21,IND 43,3,24,"Rigoberto Sanchez punts 41 yards, fair catch by Micah Hyde at BUF-16",-0.520,0.140
3,2:39,1,10,BUF 16,3,24,Derek Anderson pass incomplete short left intended for Chris Ivory (defended by Al Woods),-0.140,-0.660
3,2:34,2,10,BUF 16,3,24,Chris Ivory left guard for 20 yards (tackle by Mike Mitchell),-0.660,1.330
3,1:59,1,10,BUF 36,3,24,Derek Anderson pass incomplete short right intended for Chris Ivory,1.330,0.790
3,1:54,2,10,BUF 36,3,24,Chris Ivory left end for -2 yards (tackle by Margus Hunt and Darius Leonard),0.790,-0.160
3,1:11,3,12,BUF 34,3,24,Derek Anderson pass complete short left to Charles Clay for 7 yards (tackle by Mike Mitchell),-0.160,-0.650
3,0:34,4,5,BUF 41,3,24,"Corey Bojorquez punts 46 yards, fair catch by Chester Rogers at IND-13",-0.650,0.320
3,0:25,1,10,IND 13,5,24,Andrew Luck fumbles out of bounds,-0.320,2.000
3,0:20,,,IND 20,5,24,"Rigoberto Sanchez kicks off 59 yards, returned by Marcus Murphy for no gain (tackle by Zach Pascal)",0.000,0.870
3,0:16,1,10,BUF 29,5,24,Chris Ivory up the middle for 2 yards (tackle by Anthony Walker and Darius Leonard),0.870,0.600
Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,BUF 31,5,24,Derek Anderson pass incomplete short left intended for Marcus Murphy,0.600,-0.100
4,14:56,,,,,,Timeout #1 by Buffalo Bills,,
4,14:56,3,8,BUF 31,5,24,"Derek Anderson sacked by Kemoko Turay for no gain. Derek Anderson fumbles (forced by Kemoko Turay), recovered by Quincy Wilson at BUF-40 and returned for 38 yards (tackle by Andre Holmes)",-0.100,-6.740
4,14:44,1,2,BUF 2,5,24,Marlon Mack up the middle for -4 yards (tackle by Jordan Phillips),6.740,4.950
4,14:02,2,6,BUF 6,5,24,Andrew Luck left end for 5 yards (tackle by Rafael Bush),4.950,5.170
4,13:18,3,1,BUF 1,5,30,"Andrew Luck pass complete short right to T.Y. Hilton for 1 yard, touchdown",5.170,7.000
4,13:13,,,BUF 15,5,31,Adam Vinatieri kicks extra point good,0.000,0.000
4,13:13,,,IND 35,5,31,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
4,13:13,1,10,BUF 25,5,31,Derek Anderson pass complete deep left to Kelvin Benjamin for 32 yards (tackle by Darius Leonard),0.610,2.720
4,12:38,1,10,IND 43,5,31,Derek Anderson pass complete short middle to Chris Ivory for 9 yards (tackle by Kenny Moore and Darius Leonard),2.720,3.390
4,12:10,2,1,IND 34,5,31,Derek Anderson pass complete short right to Jason Croom for 8 yards (tackle by Darius Leonard),3.390,3.840
4,11:46,1,10,IND 26,5,31,Derek Anderson pass incomplete short middle intended for Chris Ivory,3.840,3.300
4,11:40,2,10,IND 26,5,31,Chris Ivory right end for 6 yards (tackle by Darius Leonard),3.300,3.400
4,11:03,3,4,IND 20,5,31,Derek Anderson pass incomplete short right intended for Zay Jones,3.400,2.200
4,10:59,4,4,IND 20,5,31,Derek Anderson pass complete short right to Marcus Murphy for 3 yards (tackle by Mike Mitchell),2.200,0.060
4,10:53,1,10,IND 17,5,31,Andrew Luck pass complete short right to Chester Rogers for -4 yards (tackle by Taron Johnson),-0.060,-1.060
4,10:18,2,14,IND 13,5,31,Marlon Mack up the middle for 9 yards (tackle by Harrison Phillips),-1.060,-0.620
4,9:39,3,5,IND 22,5,31,Andrew Luck pass complete short right to Eric Ebron for 12 yards (tackle by Taron Johnson and Kyle Williams),-0.620,1.200
4,8:53,1,10,IND 34,5,31,Marlon Mack up the middle for 4 yards (tackle by Tremaine Edmunds),1.200,1.200
4,8:16,2,6,IND 38,5,31,Marlon Mack left guard for 8 yards (tackle by Jordan Poyer),1.200,1.990
4,7:36,1,10,IND 46,5,31,Nyheim Hines right tackle for 1 yard (tackle by Taron Johnson),1.990,1.590
4,6:56,2,9,IND 47,5,31,Marlon Mack right guard for 5 yards (tackle by Jordan Phillips),1.590,1.550
4,6:27,3,4,BUF 48,5,31,Andrew Luck pass incomplete short left intended for Nyheim Hines. Penalty on Chester Rogers: Offensive Pass Interference (Declined),1.550,0.070
4,6:22,4,4,BUF 48,5,31,Rigoberto Sanchez punts 40 yards downed by George Odum,0.070,0.380
4,6:11,1,10,BUF 8,5,31,Chris Ivory up the middle for 5 yards (tackle by Pierre Desir and Anthony Walker),-0.380,-0.410
4,5:43,2,5,BUF 13,5,31,Derek Anderson pass short middle intended for Zay Jones is intercepted by Kenny Moore at BUF-24 and returned for 4 yards,-0.410,-4.240
4,5:32,1,10,BUF 20,5,37,"Marlon Mack left end for 20 yards, touchdown",4.240,7.000
4,5:26,,,BUF 15,5,37,Adam Vinatieri kicks extra point no good wide right,0.000,-1.000
4,5:26,,,IND 35,5,37,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
4,5:26,1,10,BUF 25,5,37,Derek Anderson pass incomplete short left intended for Jason Croom (defended by Kenny Moore),0.610,0.060
4,5:21,2,10,BUF 25,5,37,Marcus Murphy up the middle for 30 yards (tackle by Pierre Desir),0.060,2.590
4,4:46,1,10,IND 45,5,37,"Penalty on Jordan Mills: False Start, 5 yards (no play)",2.590,2.260
4,4:46,1,15,BUF 50,5,37,Derek Anderson pass complete short left to Marcus Murphy for -1 yards (tackle by Hassan Ridgeway),2.260,1.230
4,4:20,2,16,BUF 49,5,37,Derek Anderson pass deep left intended for Andre Holmes is intercepted by Corey Moore at IND-31 and returned for no gain,1.230,-1.000
4,4:13,1,10,IND 31,5,37,Jordan Wilkins left end for 18 yards (tackle by Micah Hyde),1.000,2.190
4,3:29,1,10,IND 49,5,37,Jordan Wilkins right guard for 5 yards (tackle by Tremaine Edmunds),2.190,2.320
4,2:43,2,5,BUF 46,5,37,Jordan Wilkins right tackle for 16 yards (tackle by Eddie Yarbrough and Jordan Poyer),2.320,3.580
4,2:00,1,10,BUF 30,5,37,Jacoby Brissett kneels for -1 yards,3.580,2.900
4,1:23,2,11,BUF 31,5,37,Jacoby Brissett kneels for -1 yards,2.900,2.080
4,0:45,3,12,BUF 32,5,37,Jacoby Brissett kneels for -1 yards,2.080,1.150
4,0:04,4,13,BUF 33,5,37,Jacoby Brissett kneels for -1 yards,1.150,1.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
