Quarter,Time,Tm,Detail,BUF,IND
2.0,13:31,Colts,Erik Swoope 17 yard pass from Andrew Luck (Adam Vinatieri kick failed),0,6
,9:25,Colts,Marlon Mack 29 yard pass from Andrew Luck (Marlon Mack run),0,14
,1:41,Colts,T.Y. Hilton 5 yard pass from Andrew Luck (Adam Vinatieri kick),0,21
,0:00,Colts,Adam Vinatieri 36 yard field goal,0,24
3.0,7:42,Bills,Stephen Hauschka 34 yard field goal,3,24
,0:20,Bills,"Safety, Fumble O.B. in end zone",5,24
4.0,13:13,Colts,T.Y. Hilton 1 yard pass from Andrew Luck (Adam Vinatieri kick),5,31
,5:26,Colts,Marlon Mack 20 yard rush (Adam Vinatieri kick failed),5,37
