Quarter,Time,Down,ToGo,Location,DET,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Ryan Santoso kicks off 62 yards, returned by Ray-Ray McCloud for 14 yards (tackle by Jalen Elliott)",,
1,14:55,1,10,PIT 17,0,0,Mason Rudolph pass complete short right to James Washington for 6 yards (tackle by Amani Oruwariye),,
1,14:20,2,4,PIT 23,0,0,Najee Harris right guard for 5 yards (tackle by Nick Williams and Derrick Barnes),,
1,13:41,1,10,PIT 28,0,0,Najee Harris up the middle for 3 yards (tackle by Alex Anzalone),,
1,13:01,2,7,PIT 31,0,0,Mason Rudolph pass complete short left to Ray-Ray McCloud for 11 yards (tackle by Will Harris),,
1,12:28,1,10,PIT 42,0,0,Najee Harris right guard for 3 yards (tackle by Michael Brockers),,
1,11:51,2,7,PIT 45,0,0,Mason Rudolph pass complete short middle to Eric Ebron for 4 yards (tackle by Jalen Reeves-Maybin),,
1,11:14,3,3,PIT 49,0,0,"Mason Rudolph pass is intercepted by Amani Oruwariye at DET-30 and returned for no gain. Penalty on Amani Oruwariye: Defensive Pass Interference, 29 yards (accepted) (no play)",,
1,11:08,1,10,DET 22,0,0,Najee Harris right tackle for 11 yards (tackle by Alim McNeill),,
1,10:34,1,10,DET 11,0,0,Najee Harris right guard for 2 yards (tackle by Michael Brockers and Levi Onwuzurike),,
1,9:49,2,8,DET 9,0,0,Mason Rudolph pass incomplete short right intended for Pat Freiermuth,,
1,9:45,3,8,DET 9,0,6,"Mason Rudolph pass complete short right to James Washington for 9 yards, touchdown",,
1,9:40,,,DET 15,0,7,Chris Boswell kicks extra point good,,
1,9:40,,,PIT 35,0,7,"Chris Boswell kicks off 67 yards, returned by Godwin Igwebuike for 18 yards (tackle by Derek Watt)",,
1,9:37,1,10,DET 16,0,7,"Penalty on Jonah Jackson: False Start, 5 yards (accepted) (no play)",,
1,9:37,1,15,DET 11,0,7,D'Andre Swift right end for 1 yard (tackle by Chris Wormley),,
1,9:17,2,14,DET 12,0,7,Jared Goff pass complete short right to Brock Wright for 2 yards (tackle by Joe Haden),,
1,8:43,3,12,DET 14,0,7,D'Andre Swift right guard for 7 yards (tackle by Alex Highsmith),,
1,8:11,4,5,DET 21,0,7,"Jack Fox punts 52 yards, returned by Ray-Ray McCloud for 13 yards (tackle by C.J. Moore)",,
1,8:01,1,10,PIT 40,0,7,Mason Rudolph pass complete short right to Derek Watt for 9 yards (tackle by Trey Flowers),,
1,7:20,2,1,PIT 49,0,7,Mason Rudolph pass complete short middle to Ray-Ray McCloud for -3 yards (tackle by Jalen Reeves-Maybin),,
1,6:47,3,4,PIT 46,0,7,Mason Rudolph pass incomplete short left intended for Diontae Johnson,,
1,6:42,4,4,PIT 46,0,7,"Pressley Harvin punts 39 yards, fair catch by Kalif Raymond at DET-15",,
1,6:37,1,10,DET 15,0,7,Jermar Jefferson left guard for 9 yards (tackle by Joe Schobert),,
1,5:57,2,1,DET 24,0,7,Jared Goff pass complete short right to D'Andre Swift for -3 yards (tackle by Terrell Edmunds),,
1,5:11,3,4,DET 21,0,7,D'Andre Swift right guard for 3 yards (tackle by Alex Highsmith and Joe Schobert),,
1,4:38,4,1,DET 24,0,7,"Jack Fox punts 61 yards, returned by Ray-Ray McCloud for 13 yards (tackle by Jalen Reeves-Maybin and C.J. Moore)",,
1,4:27,1,10,PIT 28,0,7,Najee Harris left tackle for 5 yards (tackle by Levi Onwuzurike and Will Harris),,
1,3:44,2,5,PIT 33,0,7,Mason Rudolph pass complete short left to Diontae Johnson for 7 yards (tackle by Alex Anzalone),,
1,3:11,1,10,PIT 40,0,7,Mason Rudolph pass complete deep right to Ray-Ray McCloud for 17 yards (tackle by Amani Oruwariye),,
1,2:29,1,10,DET 43,0,7,Mason Rudolph pass complete short right to Diontae Johnson for -2 yards (tackle by Amani Oruwariye),,
1,1:51,2,12,DET 45,0,7,Mason Rudolph pass incomplete short right intended for Kalen Ballage,,
1,1:46,3,12,DET 45,0,7,Mason Rudolph pass short right intended for Kalen Ballage is intercepted by Julian Okwara at DET-39 and returned for 9 yards (tackle by Kalen Ballage),,
1,1:39,1,10,DET 48,0,7,Jared Goff pass incomplete deep right intended for Kalif Raymond (defended by Joe Haden),,
1,1:32,2,10,DET 48,0,7,D'Andre Swift right guard for no gain (tackle by Joe Schobert),,
1,0:57,3,10,DET 48,0,7,D'Andre Swift up the middle for no gain (tackle by T.J. Watt),,
1,0:27,4,10,DET 48,0,7,"Jack Fox punts 52 yards, touchback.",,
1,0:20,1,10,PIT 20,0,7,Najee Harris left guard for 5 yards (tackle by Alim McNeill and Trey Flowers),,
Quarter,Time,Down,ToGo,Location,DET,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,PIT 25,0,7,Mason Rudolph pass incomplete short middle intended for Ray-Ray McCloud (defended by AJ Parker),,
2,14:57,3,5,PIT 25,0,7,Mason Rudolph pass complete short right to Ray-Ray McCloud for 1 yard (tackle by Dean Marlowe),,
2,14:27,4,4,PIT 26,0,7,"Pressley Harvin punts 61 yards, returned by Kalif Raymond for 48 yards (tackle by Pressley Harvin)",,
2,14:11,1,10,PIT 39,0,7,Jared Goff pass complete short right to Amon-Ra St. Brown for 7 yards (tackle by Devin Bush),,
2,13:30,2,3,PIT 32,0,7,Jermar Jefferson right tackle for 4 yards (tackle by Joe Schobert and Alex Highsmith),,
2,12:51,1,10,PIT 28,6,7,"Jermar Jefferson left guard for 28 yards, touchdown",,
2,12:43,,,PIT 15,7,7,Ryan Santoso kicks extra point good,,
2,12:43,,,DET 35,7,7,"Ryan Santoso kicks off 65 yards, touchback.",,
2,12:43,1,10,PIT 25,7,7,"Penalty on Diontae Johnson: False Start, 5 yards (accepted) (no play)",,
2,12:43,1,15,PIT 20,7,7,Najee Harris right tackle for no gain (tackle by Michael Brockers),,
2,11:58,2,15,PIT 20,7,7,Mason Rudolph pass complete short middle to Ray-Ray McCloud for 7 yards (tackle by Alex Anzalone),,
2,11:16,3,8,PIT 27,7,7,Mason Rudolph pass complete short left to Diontae Johnson for 20 yards (tackle by Tracy Walker),,
2,10:47,1,10,PIT 47,7,7,"Penalty on DET: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",,
2,10:34,1,5,DET 48,7,7,Mason Rudolph pass complete short middle to Ray-Ray McCloud for -4 yards (tackle by Charles Harris),,
2,9:51,2,9,PIT 48,7,7,Mason Rudolph pass complete short right to Ray-Ray McCloud for 14 yards (tackle by Tracy Walker),,
2,9:27,1,10,DET 38,7,7,"Mason Rudolph pass incomplete. Penalty on Michael Brockers: Defensive Offside, 5 yards (accepted) (no play)",,
2,9:20,1,5,DET 33,7,7,Najee Harris up the middle for 2 yards (tackle by Jalen Reeves-Maybin),,
2,8:41,2,3,DET 31,7,7,Najee Harris left end for 9 yards (tackle by Tracy Walker and Jalen Reeves-Maybin),,
2,8:01,1,10,DET 22,7,7,Najee Harris up the middle for 3 yards (tackle by Alex Anzalone),,
2,7:21,2,7,DET 19,7,7,Najee Harris right guard for 12 yards (tackle by Tracy Walker and Alex Anzalone),,
2,6:41,1,7,DET 7,7,7,"Najee Harris left tackle for no gain, touchdown. Penalty on Dan Moore: Offensive Holding, 10 yards (accepted) (no play)",,
