Quarter,Time,Tm,Detail,DET,PIT
1.0,9:40,Steelers,James Washington 9 yard pass from Mason Rudolph (Chris Boswell kick),0,7
2.0,12:43,Lions,Jermar Jefferson 28 yard rush (Ryan Santoso kick),7,7
,4:22,Steelers,Chris Boswell 20 yard field goal,7,10
,0:00,Lions,Ryan Santoso 20 yard field goal,10,10
3.0,12:09,Lions,Godwin Igwebuike 42 yard rush (Ryan Santoso kick failed),16,10
,8:26,Steelers,Chris Boswell 23 yard field goal,16,13
4.0,11:31,Steelers,Chris Boswell 51 yard field goal,16,16
