Unnamed: 0,DET,PIT
First Downs,17,22
Rush-Yds-TDs,39-229-2,31-145-0
Cmp-Att-Yd-TD-INT,14-25-114-0-0,30-50-242-1-1
Sacked-Yards,4-37,0-0
Net Pass Yards,77,242
Total Yards,306,387
Fumbles-Lost,0-0,3-2
Turnovers,0,3
Penalties-Yards,8-84,7-59
Third Down Conv.,4-18,7-17
Fourth Down Conv.,2-2,0-0
Time of Possession,33:12,36:48
