Quarter,Time,Tm,Detail,BUF,MIA
2.0,10:37,Bills,David Nelson 18 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,0
,6:34,Bills,Rian Lindell 29 yard field goal,10,0
,2:37,Dolphins,Ronnie Brown 6 yard rush (Dan Carpenter kick),10,7
3.0,6:14,Bills,Stevie Johnson 15 yard pass from Ryan Fitzpatrick (Rian Lindell kick),17,7
4.0,7:02,Dolphins,Brandon Marshall 9 yard pass from Chad Henne (Dan Carpenter kick),17,14
