Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,LaDainian Tomlinson left guard for -1 yards (tackle by Ryan Fowler and Albert Haynesworth),0.280,-0.460
1,14:23,2,11,SDG 19,0,0,LaDainian Tomlinson left tackle for 2 yards (tackle by Ryan Fowler and Calvin Lowry),-0.460,-0.820
1,13:38,3,9,SDG 21,0,0,Philip Rivers sacked by Donnie Nickey for -1 yards,-0.820,-2.030
1,13:14,4,10,SDG 20,0,0,"Mike Scifres punts 58 yards, returned by Chris Barclay for 6 yards (tackle by Kassim Osgood)",-2.030,-0.810
1,13:03,1,10,TEN 28,0,0,LenDale White right tackle for 2 yards (tackle by Jacques Cesaire and Matt Wilhelm),0.810,0.530
1,12:27,2,8,TEN 30,0,0,LenDale White up the middle for 3 yards (tackle by Jamal Williams and Igor Olshansky),0.530,0.230
1,11:47,3,5,TEN 33,0,0,Vince Young pass complete short left to Roydell Williams for 5 yards (tackle by Marlon McCree),0.230,1.470
1,11:15,1,10,TEN 38,0,0,"Penalty on Justin Gage: False Start, 5 yards (no play)",1.470,1.140
1,10:56,1,15,TEN 33,0,0,LenDale White left tackle for 25 yards (tackle by Clinton Hart),1.140,2.790
1,10:25,1,10,SDG 42,0,0,LenDale White right guard for 2 yards (tackle by Matt Wilhelm),2.790,2.510
1,9:40,2,8,SDG 40,0,0,Vince Young pass complete short right to Bo Scaife for 9 yards (tackle by Brandon McKinney),2.510,3.510
1,9:06,1,10,SDG 31,0,0,Vince Young pass incomplete deep left intended for Justin Gage is intercepted by Antonio Cromartie at SDG-6,3.510,0.380
1,8:59,1,10,SDG 6,0,0,LaDainian Tomlinson right tackle for 5 yards (tackle by Michael Griffin),-0.380,-0.420
1,8:32,2,5,SDG 11,0,0,LaDainian Tomlinson left guard for -1 yards (tackle by David Thornton),-0.420,-0.950
1,7:46,3,6,SDG 10,0,0,"Penalty on SDG: Delay of Game, 5 yards (no play)",-0.950,-1.540
1,7:24,3,11,SDG 5,0,0,Philip Rivers pass incomplete deep left intended for Chris Chambers is intercepted by Michael Griffin at SDG-29,-1.540,-3.640
1,7:18,1,10,SDG 29,0,0,LenDale White right tackle for no gain (tackle by Jamal Williams),3.640,3.100
1,6:40,2,10,SDG 29,0,0,Vince Young pass complete short left to Roydell Williams for 8 yards (tackle by Drayton Florence),3.100,3.470
1,5:56,3,2,SDG 21,0,0,Vince Young sacked by Shawne Merriman for -5 yards,3.470,1.740
1,5:23,4,7,SDG 26,0,3,Rob Bironas 44 yard field goal good,1.740,3.000
1,,,,TEN 30,0,3,"Rob Bironas kicks off 67 yards, returned by Michael Turner for 26 yards (tackle by Biren Ealy)",0.000,0.870
1,5:12,1,10,SDG 29,0,3,Philip Rivers pass complete short right to LaDainian Tomlinson for 6 yards (tackle by Nick Harper),0.870,1.140
1,4:29,2,4,SDG 35,0,3,Philip Rivers pass incomplete deep right intended for Antonio Gates (defended by Keith Bulluck),1.140,0.430
1,4:24,3,4,SDG 35,0,3,LaDainian Tomlinson right end for 3 yards (tackle by Michael Griffin),0.430,-0.850
1,3:56,4,1,SDG 38,0,3,"Mike Scifres punts 37 yards, fair catch by Chris Barclay",-0.850,-0.610
1,3:48,1,10,TEN 25,0,3,Vince Young pass complete short right to LenDale White for 15 yards (tackle by Clinton Hart),0.610,1.600
1,3:07,1,10,TEN 40,0,3,LenDale White left tackle for 4 yards (tackle by Shaun Phillips),1.600,1.590
1,2:21,2,6,TEN 44,0,3,Vince Young pass incomplete deep left intended for Mike Williams (defended by Antonio Cromartie),1.590,0.890
1,2:16,3,6,TEN 44,0,3,Vince Young up the middle for 1 yard (tackle by Shawne Merriman),0.890,-0.390
1,1:39,4,5,TEN 45,0,3,"Craig Hentrich punts 43 yards. Penalty on Eric Weddle: Offensive Holding, 6 yards",-0.390,0.380
1,1:31,1,10,SDG 6,0,3,LaDainian Tomlinson left tackle for no gain (tackle by Stephen Tulloch),-0.380,-0.780
1,0:55,2,10,SDG 6,0,3,LaDainian Tomlinson up the middle for 3 yards (tackle by David Thornton),-0.780,-1.070
1,0:09,3,7,SDG 9,0,3,Philip Rivers pass complete deep left to Chris Chambers for 17 yards (tackle by Cortland Finnegan),-1.070,0.670
Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 26,0,3,Philip Rivers pass incomplete short right intended for Chris Chambers,0.670,0.130
2,14:54,2,10,SDG 26,0,3,Philip Rivers pass incomplete short right intended for Antonio Gates,0.130,-0.560
2,14:48,3,10,SDG 26,0,3,Philip Rivers pass incomplete short right intended for Craig Davis (defended by Albert Haynesworth),-0.560,-1.630
2,14:44,4,10,SDG 26,0,3,"Mike Scifres punts 60 yards, returned by Chris Barclay for 9 yards (tackle by Michael Turner)",-1.630,-0.480
2,14:32,1,10,TEN 23,0,3,Chris Brown right tackle for 4 yards (tackle by Matt Wilhelm and Shawne Merriman),0.480,0.470
2,13:53,2,6,TEN 27,0,3,Chris Brown up the middle for 3 yards (tackle by Matt Wilhelm and Jacques Cesaire),0.470,0.170
2,13:22,3,3,TEN 30,0,3,Kerry Collins sacked by Shawne Merriman for -5 yards,0.170,-1.700
2,13:02,4,8,TEN 25,0,3,"Craig Hentrich punts 44 yards, returned by Craig Davis for 6 yards (tackle by Stephen Tulloch)",-1.700,-1.400
2,12:51,1,10,SDG 37,0,3,Philip Rivers pass incomplete short right intended for Vincent Jackson,1.400,0.860
2,12:47,2,10,SDG 37,0,3,Philip Rivers pass complete short right to Vincent Jackson for 6 yards (tackle by Vincent Fuller),0.860,0.960
2,12:03,3,4,SDG 43,0,3,Philip Rivers pass complete short left to Craig Davis for 5 yards (tackle by Vincent Fuller),0.960,2.130
2,11:32,1,10,SDG 48,0,3,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Cortland Finnegan),2.130,2.390
2,11:00,,,,0,3,Timeout #1 by San Diego Chargers,0.000,2.390
2,11:00,2,4,TEN 46,0,3,LaDainian Tomlinson right end for no gain (tackle by David Thornton),2.390,1.680
2,10:31,3,4,TEN 46,0,3,Billy Volek pass incomplete deep left intended for Vincent Jackson (defended by Cortland Finnegan),1.680,0.200
2,10:25,4,4,TEN 46,0,3,"Mike Scifres punts 46 yards, touchback",0.200,-0.280
2,10:17,1,10,TEN 20,0,3,"Vince Young pass complete short left to Ahmard Hall for 10 yards (tackle by Eric Weddle). Penalty on Ahmard Hall: Illegal Motion, 5 yards (no play)",0.280,-0.310
2,9:57,1,15,TEN 15,0,3,Chris Brown up the middle for 1 yard (tackle by Stephen Cooper),-0.310,-0.940
2,9:21,2,14,TEN 16,0,3,Vince Young pass complete short middle to Chris Brown for 13 yards (tackle by Shawne Merriman),-0.940,0.230
2,8:37,3,1,TEN 29,0,3,Vince Young pass incomplete short middle intended for Ben Hartsock (defended by Stephen Cooper),0.230,-1.440
2,8:34,4,1,TEN 29,0,3,"Craig Hentrich punts 51 yards, returned by Craig Davis for 24 yards (tackle by Craig Hentrich)",-1.440,-1.860
2,8:20,1,10,SDG 44,0,3,Billy Volek pass incomplete short right intended for LaDainian Tomlinson is intercepted by Calvin Lowry at SDG-48 and returned for 1 yard (tackle by Mike Goff),1.860,-2.460
2,8:14,1,10,SDG 47,0,3,Vince Young pass complete short middle to LenDale White for 9 yards (tackle by Quentin Jammer),2.460,3.130
2,7:32,2,1,SDG 38,0,3,LenDale White up the middle for 2 yards (tackle by Jacques Cesaire and Igor Olshansky),3.130,3.180
2,6:43,1,10,SDG 36,0,3,LenDale White left guard for 3 yards (tackle by Igor Olshansky),3.180,3.040
2,6:04,2,7,SDG 33,0,3,Vince Young pass incomplete short left intended for Roydell Williams,3.040,2.350
2,6:01,3,7,SDG 33,0,3,Vince Young pass complete short middle to Roydell Williams for 17 yards (tackle by Clinton Hart),2.350,4.510
2,6:01,1,10,SDG 16,0,3,"Penalty on Michael Roos: False Start, 6 yards (no play)",4.510,4.110
