Unnamed: 0,SDG,TEN
First Downs,20,13
Rush-Yds-TDs,30-148-1,37-131-2
Cmp-Att-Yd-TD-INT,21-42-228-2-3,14-24-119-0-2
Sacked-Yards,5-35,2-10
Net Pass Yards,193,109
Total Yards,341,240
Fumbles-Lost,0-0,0-0
Turnovers,3,2
Penalties-Yards,4-30,4-21
Third Down Conv.,6-18,6-17
Fourth Down Conv.,1-1,0-0
Time of Possession,31:18,36:13
