Quarter,Time,Tm,Detail,SDG,TEN
1,5:19,Titans,Rob Bironas 44 yard field goal,0,3
3,11:43,Chargers,Nate Kaeding 20 yard field goal,3,3
,5:17,Titans,Chris Brown 7 yard rush (Rob Bironas kick),3,10
4,14:21,Titans,LenDale White 7 yard rush (Rob Bironas kick),3,17
,7:29,Chargers,LaDainian Tomlinson 7 yard pass from Philip Rivers (Nate Kaeding kick),10,17
,0:09,Chargers,Antonio Gates 2 yard pass from Philip Rivers (Nate Kaeding kick),17,17
OT,7:29,Chargers,LaDainian Tomlinson 16 yard rush,23,17
