Quarter,Time,Tm,Detail,NWE,PIT
1.0,9:47,Patriots,Corey Dillon 4 yard rush (Adam Vinatieri kick),7,0
,9:32,Steelers,Hines Ward 85 yard pass from Ben Roethlisberger (Jeff Reed kick),7,7
,4:42,Steelers,Jeff Reed 33 yard field goal,7,10
3.0,6:08,Steelers,Jeff Reed 24 yard field goal,7,13
,0:14,Patriots,Adam Vinatieri 48 yard field goal,10,13
4.0,10:37,Patriots,Corey Dillon 7 yard rush (Adam Vinatieri kick),17,13
,3:19,Patriots,Adam Vinatieri 35 yard field goal,20,13
,1:21,Steelers,Hines Ward 4 yard pass from Ben Roethlisberger (Jeff Reed kick),20,20
,0:01,Patriots,Adam Vinatieri 43 yard field goal,23,20
