Unnamed: 0,NWE,PIT
First Downs,24,14
Rush-Yds-TDs,30-80-2,23-79-0
Cmp-Att-Yd-TD-INT,31-41-372-0-1,12-28-216-2-0
Sacked-Yards,3-26,4-26
Net Pass Yards,346,190
Total Yards,426,269
Fumbles-Lost,3-2,1-1
Turnovers,3,1
Penalties-Yards,10-118,5-35
Third Down Conv.,8-16,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,35:23,24:37
