Quarter,Time,Tm,Detail,SDG,OAK
2,7:17,Chargers,Reche Caldwell 9 yard pass from Drew Brees (Steve Christie kick),7,0
3,9:12,Chargers,LaDainian Tomlinson 4 yard pass from Drew Brees (Steve Christie kick),14,0
,5:16,Raiders,Jerry Rice 4 yard pass from Rich Gannon (Sebastian Janikowski kick),14,7
4,14:54,Raiders,Jerry Porter 17 yard pass from Rich Gannon (Sebastian Janikowski kick),14,14
,7:18,Chargers,Drew Brees 1 yard rush (Steve Christie kick),21,14
,1:21,Raiders,Jon Ritchie 7 yard pass from Rich Gannon (Sebastian Janikowski kick),21,21
OT,11:22,Chargers,LaDainian Tomlinson 19 yard rush,27,21
