Unnamed: 0,SDG,OAK
First Downs,24,26
Rush-Yds-TDs,42-172-2,12-37-0
Cmp-Att-Yd-TD-INT,16-25-170-2-0,35-45-361-3-1
Sacked-Yards,2-9,3-8
Net Pass Yards,161,353
Total Yards,333,390
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,10-97,5-50
Third Down Conv.,6-13,1-7
Fourth Down Conv.,0-0,0-0
Time of Possession,35:51,27:47
