Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Wade Richey kicks off 68 yards, returned by Terry Kirby for 22 yards (tackle by Keith Lyle)",0.000,0.540
1,14:55,1,10,OAK 24,0,0,Rich Gannon pass complete to Jerry Rice for 4 yards (tackle by Leonardo Carson),0.540,0.540
1,14:14,2,6,OAK 28,0,0,Charlie Garner left tackle for 7 yards (tackle by Donnie Edwards),0.540,1.270
1,13:33,1,10,OAK 35,0,0,Rich Gannon pass complete to Doug Jolley for 5 yards (tackle by Ben Leber),1.270,1.400
1,12:53,2,5,OAK 40,0,0,Rich Gannon pass incomplete intended for Roland Williams (defended by Rodney Harrison),1.400,0.700
1,12:48,3,5,OAK 40,0,0,Rich Gannon pass complete to Tim Brown for 45 yards (tackle by Rogers Beckett),0.700,4.580
1,12:24,1,10,SDG 15,0,0,Rich Gannon pass complete to Doug Jolley for 6 yards (tackle by Rogers Beckett),4.580,5.030
1,11:39,2,4,SDG 9,0,0,Rich Gannon pass incomplete intended for Doug Jolley (defended by Rodney Harrison),5.030,4.220
1,11:34,3,4,SDG 9,0,0,Rich Gannon pass incomplete intended for Jerry Rice (defended by Quentin Jammer),4.220,2.900
1,11:30,4,4,SDG 9,0,0,Sebastian Janikowski 27 yard field goal no good,2.900,-0.280
1,11:25,1,10,SDG 20,0,0,LaDainian Tomlinson right tackle for 9 yards (tackle by Derrick Gibson),0.280,0.950
1,10:52,2,1,SDG 29,0,0,LaDainian Tomlinson right tackle for 3 yards (tackle by Eric Barton),0.950,1.070
1,10:14,1,10,SDG 32,0,0,Drew Brees pass complete to LaDainian Tomlinson for 2 yards (tackle by Bill Romanowski),1.070,0.800
1,9:30,2,8,SDG 34,0,0,Drew Brees pass complete to Curtis Conway for 10 yards (tackle by Tory James),0.800,1.860
1,8:51,1,10,SDG 44,0,0,Drew Brees pass complete to LaDainian Tomlinson for 6 yards (tackle by Eric Barton),1.860,2.130
1,8:07,2,4,,0,0,Drew Brees pass complete to LaDainian Tomlinson for 5 yards (tackle by Phillip Buchanon and Napoleon Harris),2.130,2.590
1,7:24,1,10,OAK 45,0,0,"Penalty on Drew Brees: False Start, 5 yards (no play)",2.590,2.260
1,7:05,1,15,,0,0,LaDainian Tomlinson left end for -5 yards (tackle by Chris Cooper),2.260,0.690
1,6:25,2,20,SDG 45,0,0,LaDainian Tomlinson right end for -2 yards (tackle by Chris Cooper and Trace Armstrong),0.690,-0.230
1,5:45,3,22,SDG 43,0,0,LaDainian Tomlinson middle for 2 yards (tackle by Tony Bryant),-0.230,-0.390
1,5:09,4,20,SDG 45,0,0,"Darren Bennett punts 44 yards, fair catch by Phillip Buchanon",-0.390,0.370
1,5:01,1,10,OAK 11,0,0,Charlie Garner middle for 1 yard (tackle by Ben Leber and Alex Molden),-0.370,-0.710
1,4:27,2,9,OAK 12,0,0,Rich Gannon pass complete to Jerry Rice for 12 yards (tackle by Ryan McNeil),-0.710,0.540
1,3:49,1,10,OAK 24,0,0,Charlie Garner middle for 13 yards (tackle by Zeke Moreno),0.540,1.400
1,3:10,1,10,OAK 37,0,0,Terry Kirby middle for 2 yards (tackle by Zeke Moreno),1.400,1.130
1,2:32,2,8,OAK 39,0,0,Rich Gannon pass complete to Jerry Porter for 9 yards (tackle by Quentin Jammer and Ben Leber),1.130,2.130
1,1:50,1,10,OAK 48,0,0,Rich Gannon pass complete to Charlie Garner for 22 yards (tackle by Alex Molden),2.130,3.580
1,1:11,1,10,SDG 30,0,0,Rich Gannon pass complete to Roland Williams for 4 yards (tackle by Zeke Moreno),3.580,3.570
1,0:35,2,6,SDG 26,0,0,Terry Kirby right end for no gain (tackle by Donnie Edwards and Alex Molden),3.570,2.870
Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
