Unnamed: 0,CLE,CIN
First Downs,15,18
Rush-Yds-TDs,26-84-1,34-185-1
Cmp-Att-Yd-TD-INT,16-24-138-1-1,13-27-93-1-1
Sacked-Yards,2-14,0-0
Net Pass Yards,124,93
Total Yards,208,278
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,7-45,6-33
Third Down Conv.,5-12,6-12
Fourth Down Conv.,0-0,1-1
Time of Possession,30:48,29:12
