Quarter,Time,Tm,Detail,CLE,CIN
1.0,8:23,Browns,Charlie Frye 3 yard rush (Phil Dawson kick),7,0
,4:18,Bengals,Rudi Johnson 8 yard rush (Shayne Graham kick),7,7
2.0,12:18,Browns,Steve Heiden 2 yard pass from Charlie Frye (Phil Dawson kick),14,7
,7:38,Bengals,Shayne Graham 21 yard field goal,14,10
,0:06,Bengals,Shayne Graham 27 yard field goal,14,13
3.0,6:11,Browns,Phil Dawson 41 yard field goal,17,13
,0:02,Bengals,T.J. Houshmandzadeh 4 yard pass from Carson Palmer (Shayne Graham kick),17,20
4.0,4:19,Browns,Phil Dawson 29 yard field goal,20,20
,0:00,Bengals,Shayne Graham 37 yard field goal,20,23
