Unnamed: 0,IND,BAL
First Downs,20,20
Rush-Yds-TDs,25-76-1,31-98-0
Cmp-Att-Yd-TD-INT,22-31-299-1-2,23-35-256-0-1
Sacked-Yards,0-0,0-0
Net Pass Yards,299,256
Total Yards,375,354
Fumbles-Lost,1-1,1-1
Turnovers,3,2
Penalties-Yards,5-40,2-20
Third Down Conv.,5-9,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:24,32:36
