Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Billy Cundiff kicks off 70 yards, returned by Chad Simpson for 13 yards (tackle by Lardarius Webb)",0.000,-0.320
1,14:54,1,10,IND 13,0,0,Peyton Manning pass incomplete deep middle intended for Pierre Garcon,-0.320,-0.770
1,14:47,2,10,IND 13,0,0,Joseph Addai left end for 1 yard (tackle by Ray Lewis),-0.770,-1.300
1,14:47,3,9,IND 14,0,0,Peyton Manning pass complete short right to Reggie Wayne for 15 yards (tackle by Domonique Foxworth),-1.300,0.870
1,13:22,1,10,IND 29,0,0,Joseph Addai left end for -1 yards (tackle by Kelly Gregg),0.870,0.190
1,12:44,2,11,IND 28,0,0,Peyton Manning pass complete deep right to Pierre Garcon for 66 yards (tackle by Ed Reed),0.190,5.830
1,12:13,1,6,BAL 6,0,0,Joseph Addai right guard for 3 yards (tackle by Tavares Gooden and Ray Lewis),5.830,5.530
1,11:31,2,3,BAL 3,6,0,"Peyton Manning pass complete short left to Dallas Clark for 3 yards, touchdown",5.530,7.000
1,,,,BAL 2,7,0,Matt Stover kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Pat McAfee kicks off 73 yards, returned by Lardarius Webb for 24 yards (tackle by De'von Hall)",0.000,0.340
,,,,,,,"BAL challenged the fumble ruling, and the original play was overturned.",,
1,11:24,1,10,BAL 21,7,0,Ray Rice left tackle for 2 yards (tackle by Clint Session),0.340,0.070
1,11:01,2,8,BAL 23,7,0,Ray Rice right tackle for 2 yards (tackle by Gary Brackett and Antoine Bethea),0.070,-0.360
1,10:38,3,6,BAL 25,7,0,Joe Flacco pass complete short right to Kelley Washington for 8 yards (tackle by Tim Jennings),-0.360,1.140
1,10:06,1,10,BAL 33,7,0,Joe Flacco pass complete short left to Ray Rice for 4 yards (tackle by Philip Wheeler),1.140,1.130
1,9:16,2,6,BAL 37,7,0,Ray Rice middle for 5 yards (tackle by Daniel Muir),1.130,1.090
1,9:00,3,1,BAL 42,7,0,Le'Ron McClain left tackle for 3 yards (tackle by Philip Wheeler and Antonio Johnson),1.090,1.930
1,8:05,1,10,BAL 45,7,0,Joe Flacco pass complete short left to Derrick Mason for 10 yards (tackle by Jerraud Powers),1.930,2.590
1,7:26,1,10,IND 45,7,0,Willis McGahee right end for 4 yards (tackle by Gary Brackett and Jacob Lacey),2.590,2.580
1,6:43,,,,7,0,Timeout #1 by Baltimore Ravens,0.000,2.580
1,6:39,2,6,IND 41,7,0,Joe Flacco pass complete short right to Willis McGahee for 7 yards (tackle by Clint Session),2.580,3.310
1,6:02,1,10,IND 34,7,0,Joe Flacco pass incomplete deep right intended for Derrick Mason (defended by Jacob Lacey),3.310,2.770
1,5:54,2,10,IND 34,7,0,Ray Rice right tackle for 6 yards (tackle by Gary Brackett),2.770,2.870
1,5:20,3,4,IND 28,7,0,Joe Flacco pass incomplete deep right intended for Derrick Mason,2.870,1.650
1,5:14,4,4,IND 28,7,3,Billy Cundiff 46 yard field goal good,1.650,3.000
1,,,,BAL 30,7,3,"Billy Cundiff kicks off 66 yards, returned by Chad Simpson for 20 yards (tackle by Tavares Gooden)",0.000,0.540
1,5:04,1,10,IND 24,7,3,Peyton Manning pass incomplete deep right intended for Dallas Clark is intercepted by Dawan Landry at IND-43 and returned for 14 yards,0.540,-3.640
1,4:53,1,10,IND 29,7,3,Ray Rice left tackle for 3 yards (tackle by Raheem Brock),3.640,3.510
1,4:17,2,7,IND 26,7,3,Joe Flacco pass incomplete deep middle intended for Derrick Mason (defended by Melvin Bullitt),3.510,2.810
1,4:12,3,7,IND 26,7,3,Joe Flacco pass incomplete short right intended for Derrick Mason (defended by Tim Jennings),2.810,1.740
1,4:06,4,7,IND 26,7,6,Billy Cundiff 44 yard field goal good,1.740,3.000
1,,,,BAL 30,7,6,"Billy Cundiff kicks off 63 yards, returned by T.J. Rushing for 14 yards (tackle by Chris Carr). Penalty on De'von Hall: Illegal Block Above the , 10 yards",0.000,-0.370
1,3:54,1,10,IND 11,7,6,Joseph Addai left tackle for 6 yards (tackle by Dannell Ellerbe),-0.370,-0.160
1,3:20,2,4,IND 17,7,6,Peyton Manning pass complete short left to Tom Santi for 5 yards (tackle by Dannell Ellerbe and Dawan Landry),-0.160,0.410
1,2:45,1,10,IND 22,7,6,Peyton Manning pass complete short middle to Tom Santi for 31 yards (tackle by Ed Reed),0.410,2.460
1,2:05,1,10,BAL 47,7,6,Joseph Addai right end for 2 yards (tackle by Lardarius Webb and Jarret Johnson),2.460,2.180
1,1:24,2,8,BAL 45,7,6,Peyton Manning pass incomplete short left intended for Reggie Wayne,2.180,1.490
1,1:18,3,8,BAL 45,7,6,Peyton Manning pass complete short right to Joseph Addai for 7 yards (tackle by Dannell Ellerbe),1.490,0.720
1,0:47,,,,7,6,Timeout #1 by Indianapolis Colts,0.000,0.720
1,0:47,4,1,BAL 38,7,6,"Joseph Addai left tackle for 3 yards (tackle by Jarret Johnson and Dannell Ellerbe). Penalty on Jeff Saturday: Offensive Holding, 10 yards (no play)",0.720,0.070
1,0:36,4,11,BAL 48,7,6,"Pat McAfee punts 38 yards, fair catch by Chris Carr",0.070,0.380
1,0:32,1,10,BAL 10,7,6,Willis McGahee right guard for 2 yards (tackle by Philip Wheeler and Daniel Muir),-0.380,-0.630
Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,BAL 12,7,6,Willis McGahee right guard for 4 yards (tackle by Antonio Johnson and Daniel Muir),-0.630,-0.720
2,14:20,3,4,BAL 16,7,6,"Penalty on Michael Oher: False Start, 5 yards (no play)",-0.720,-1.300
2,13:55,3,9,BAL 11,7,6,Joe Flacco pass complete short right to Ray Rice for 2 yards (tackle by Tim Jennings),-1.300,-2.490
2,13:13,4,7,BAL 13,7,6,"Sam Koch punts 47 yards, returned by T.J. Rushing for 2 yards (tackle by Edgar Jones). Penalty on De'von Hall: Illegal Block Above the , 10 yards",-2.490,-1.070
2,13:03,1,10,IND 32,7,6,Peyton Manning pass complete short right to Pierre Garcon for 5 yards (tackle by Fabian Washington),1.070,1.200
2,12:20,2,5,IND 37,7,6,Donald Brown right guard for no gain (tackle by Jarret Johnson and Trevor Pryce),1.200,0.500
2,11:40,3,5,IND 37,7,6,Peyton Manning pass complete short left to Austin Collie for 12 yards (tackle by Domonique Foxworth),0.500,2.190
2,10:59,1,10,IND 49,7,6,Donald Brown right end for 6 yards (tackle by Fabian Washington),2.190,2.460
2,10:23,2,4,BAL 45,7,6,Peyton Manning pass complete short right to Tom Santi for 3 yards (tackle by Tavares Gooden),2.460,2.150
2,9:36,,,,7,6,Timeout #2 by Indianapolis Colts,0.000,2.150
2,9:36,3,1,BAL 42,7,6,Donald Brown left tackle for 2 yards (tackle by Trevor Pryce),2.150,2.920
2,8:55,1,10,BAL 40,7,6,Peyton Manning pass incomplete short right intended for Pierre Garcon,2.920,2.370
2,8:47,2,10,BAL 40,7,6,Peyton Manning pass incomplete deep left intended for Reggie Wayne is intercepted by Ed Reed at BAL-6 and returned for 42 yards,2.370,-2.130
2,8:33,1,10,BAL 48,7,6,Joe Flacco pass complete short right to Le'Ron McClain for 5 yards (tackle by Clint Session and Gary Brackett),2.130,2.260
