Unnamed: 0,DAL,WAS
First Downs,22,15
Rush-Yds-TDs,30-108-1,17-43-0
Cmp-Att-Yd-TD-INT,25-38-286-1-1,24-39-199-0-1
Sacked-Yards,1-1,4-34
Net Pass Yards,285,165
Total Yards,393,208
Fumbles-Lost,0-0,3-0
Turnovers,1,1
Penalties-Yards,4-21,4-33
Third Down Conv.,7-13,4-14
Fourth Down Conv.,0-2,0-1
Time of Possession,35:02,24:58
