Quarter,Time,Tm,Detail,DAL,WAS
1,8:33,Cowboys,Roy Williams 4 yard pass from Tony Romo (Shaun Suisham kick),7,0
2,8:00,Cowboys,Marion Barber III 3 yard rush (Shaun Suisham kick),14,0
4,7:44,Cowboys,Shaun Suisham 23 yard field goal,17,0
